Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.03.21.,H4,"29,04","535,80"
2012.03.21.,H5,"29,99","481,00"
2012.03.21.,H6,"35,00","557,00"
2012.03.21.,H7,"42,46","593,90"
2012.03.21.,H8,"55,00","449,60"
2012.03.21.,H9,"53,23","512,50"
2012.03.21.,H10,"49,47","459,60"
2012.03.21.,H11,"46,94","502,00"
2012.03.21.,H12,"46,28","557,70"
2012.03.21.,H13,"47,50","648,90"
2012.03.21.,H14,"44,05","558,30"
2012.03.21.,H15,"43,34","486,90"
2012.03.21.,H16,"45,84","447,00"
2012.03.21.,H17,"45,01","521,80"
2012.03.21.,H18,"48,49","468,30"
2012.03.21.,H19,"60,12","551,70"
2012.03.21.,H20,"84,55","598,90"
2012.03.21.,H21,"61,40","533,80"
2012.03.21.,H22,"49,67","508,60"
2012.03.21.,H23,"43,25","560,00"
2012.03.21.,H24,"36,85","489,60"
2012.03.22.,H1,"36,06","629,70"
2012.03.22.,H2,"32,30","754,60"
2012.03.22.,H3,"30,45","876,40"
2012.03.22.,H4,"30,00","915,10"
2012.03.22.,H5,"30,01","862,60"
2012.03.22.,H6,"35,08","665,30"
2012.03.22.,H7,"43,95","530,30"
2012.03.22.,H8,"55,01","489,10"
2012.03.22.,H9,"55,32","534,60"
2012.03.22.,H10,"50,00","524,30"
2012.03.22.,H11,"43,76","521,50"
2012.03.22.,H12,"41,56","560,30"
2012.03.22.,H13,"41,85","569,60"
2012.03.22.,H14,"40,91","530,40"
2012.03.22.,H15,"41,39","438,90"
2012.03.22.,H16,"44,25","438,30"
2012.03.22.,H17,"43,25","467,00"
2012.03.22.,H18,"46,04","459,60"
2012.03.22.,H19,"59,97","593,30"
2012.03.22.,H20,"87,45","577,30"
2012.03.22.,H21,"62,82","652,90"
2012.03.22.,H22,"50,01","527,70"
2012.03.22.,H23,"44,40","502,30"
2012.03.22.,H24,"38,48","511,70"
2012.03.23.,H1,"36,08","645,60"
2012.03.23.,H2,"33,91","793,30"
2012.03.23.,H3,"31,75","890,90"
2012.03.23.,H4,"30,00","953,20"
2012.03.23.,H5,"31,00","920,30"
2012.03.23.,H6,"35,26","730,30"
2012.03.23.,H7,"46,31","643,40"
2012.03.23.,H8,"55,55","500,90"
2012.03.23.,H9,"55,01","417,40"
2012.03.23.,H10,"48,68","435,50"
2012.03.23.,H11,"42,82","451,10"
2012.03.23.,H12,"42,01","429,30"
2012.03.23.,H13,"41,60","479,60"
2012.03.23.,H14,"41,57","468,60"
2012.03.23.,H15,"40,40","406,10"
2012.03.23.,H16,"41,30","400,20"
2012.03.23.,H17,"40,90","460,10"
2012.03.23.,H18,"44,17","433,20"
2012.03.23.,H19,"55,06","494,50"
2012.03.23.,H20,"68,89","597,50"
2012.03.23.,H21,"57,42","538,30"
2012.03.23.,H22,"46,01","613,40"
2012.03.23.,H23,"42,69","569,50"
2012.03.23.,H24,"36,91","739,40"
2012.03.24.,H1,"35,68","600,20"
2012.03.24.,H2,"33,00","716,70"
2012.03.24.,H3,"27,04","686,50"
2012.03.24.,H4,"25,01","809,60"
2012.03.24.,H5,"24,20","740,70"
2012.03.24.,H6,"27,50","638,70"
2012.03.24.,H7,"29,56","687,10"
2012.03.24.,H8,"36,92","597,60"
2012.03.24.,H9,"40,01","514,90"
2012.03.24.,H10,"48,50","636,90"
2012.03.24.,H11,"49,70","645,20"
2012.03.24.,H12,"46,78","642,30"
2012.03.24.,H13,"42,51","616,20"
2012.03.24.,H14,"37,51","507,20"
2012.03.24.,H15,"35,00","549,50"
2012.03.24.,H16,"35,01","445,40"
2012.03.24.,H17,"37,51","450,20"
2012.03.24.,H18,"45,00","603,20"
2012.03.24.,H19,"56,10","593,50"
2012.03.24.,H20,"65,01","675,00"
2012.03.24.,H21,"52,58","541,90"
2012.03.24.,H22,"44,00","564,20"
2012.03.24.,H23,"39,95","512,10"
2012.03.24.,H24,"34,64","461,10"
2012.03.25.,H1,"27,05","587,40"
2012.03.25.,H2,"21,00","620,00"
2012.03.25.,H3,"15,01","872,80"
2012.03.25.,H4,"15,01","878,00"
2012.03.25.,H5,"15,00","753,80"
2012.03.25.,H6,"13,05","766,80"
2012.03.25.,H7,"15,01","556,80"
2012.03.25.,H8,"20,01","478,40"
2012.03.25.,H9,"25,78","332,30"
2012.03.25.,H10,"30,89","431,60"
2012.03.25.,H11,"33,11","505,40"
2012.03.25.,H12,"31,67","525,60"
2012.03.25.,H13,"24,72","454,90"
2012.03.25.,H14,"17,99","396,80"
2012.03.25.,H15,"18,66","369,50"
2012.03.25.,H16,"20,01","403,20"
2012.03.25.,H17,"27,93","423,20"
2012.03.25.,H18,"40,07","433,30"
2012.03.25.,H19,"49,73","367,60"
2012.03.25.,H20,"48,47","399,70"
2012.03.25.,H21,"40,01","413,80"
2012.03.25.,H22,"35,22","608,50"
2012.03.25.,H23,"29,50","458,80"
2012.03.25.,H24,"0,00","0,00"
2012.03.26.,H1,"25,44","834,80"
2012.03.26.,H2,"21,27","880,30"
2012.03.26.,H3,"17,76","763,30"
2012.03.26.,H4,"15,10","798,10"
2012.03.26.,H5,"17,76","768,50"
2012.03.26.,H6,"27,53","653,50"
2012.03.26.,H7,"42,51","584,80"
2012.03.26.,H8,"56,25","660,00"
2012.03.26.,H9,"59,49","611,30"
2012.03.26.,H10,"57,63","678,70"
2012.03.26.,H11,"50,84","557,20"
2012.03.26.,H12,"48,92","589,00"
2012.03.26.,H13,"47,51","606,80"
2012.03.26.,H14,"47,51","611,30"
2012.03.26.,H15,"42,66","571,60"
2012.03.26.,H16,"42,08","577,70"
2012.03.26.,H17,"41,60","596,20"
2012.03.26.,H18,"42,21","571,70"
2012.03.26.,H19,"51,74","525,40"
2012.03.26.,H20,"82,51","610,80"
2012.03.26.,H21,"76,00","678,40"
2012.03.26.,H22,"52,50","559,80"
2012.03.26.,H23,"45,01","742,30"
2012.03.26.,H24,"37,50","747,90"
2012.03.27.,H1,"34,54","803,50"
2012.03.27.,H2,"30,00","638,80"
2012.03.27.,H3,"25,03","659,10"
2012.03.27.,H4,"24,35","686,90"
2012.03.27.,H5,"27,00","693,10"
2012.03.27.,H6,"29,81","564,90"
2012.03.27.,H7,"47,27","529,80"
2012.03.27.,H8,"65,04","719,70"
2012.03.27.,H9,"88,01","669,50"
2012.03.27.,H10,"84,34","653,00"
2012.03.27.,H11,"85,01","602,90"
2012.03.27.,H12,"87,01","617,70"
2012.03.27.,H13,"57,51","699,00"
2012.03.27.,H14,"57,50","655,30"
2012.03.27.,H15,"57,50","605,50"
2012.03.27.,H16,"57,50","641,80"
2012.03.27.,H17,"56,01","560,10"
2012.03.27.,H18,"47,00","492,70"
2012.03.27.,H19,"47,00","566,30"
2012.03.27.,H20,"100,00","754,50"
2012.03.27.,H21,"115,01","681,10"
2012.03.27.,H22,"56,00","616,80"
2012.03.27.,H23,"45,04","482,10"
2012.03.27.,H24,"40,01","672,80"
2012.03.28.,H1,"33,11","722,40"
2012.03.28.,H2,"28,01","672,00"
2012.03.28.,H3,"23,01","712,20"
2012.03.28.,H4,"22,00","707,30"
2012.03.28.,H5,"23,49","653,20"
2012.03.28.,H6,"30,34","702,70"
2012.03.28.,H7,"42,00","556,10"
2012.03.28.,H8,"56,65","532,30"
2012.03.28.,H9,"56,58","532,40"
2012.03.28.,H10,"50,88","504,30"
2012.03.28.,H11,"46,50","535,80"
2012.03.28.,H12,"44,15","528,40"
2012.03.28.,H13,"40,00","583,60"
2012.03.28.,H14,"36,89","521,20"
2012.03.28.,H15,"34,11","495,20"
2012.03.28.,H16,"33,79","495,90"
2012.03.28.,H17,"35,00","486,80"
2012.03.28.,H18,"35,35","438,20"
2012.03.28.,H19,"39,72","533,00"
2012.03.28.,H20,"46,60","503,40"
2012.03.28.,H21,"49,53","658,60"
2012.03.28.,H22,"42,50","662,10"
2012.03.28.,H23,"39,04","681,60"
2012.03.28.,H24,"32,26","611,90"
2012.03.29.,H1,"25,00","725,80"
2012.03.29.,H2,"16,16","794,50"
2012.03.29.,H3,"12,01","677,20"
2012.03.29.,H4,"11,92","692,20"
2012.03.29.,H5,"12,74","658,20"
2012.03.29.,H6,"23,07","581,60"
2012.03.29.,H7,"39,50","640,10"
2012.03.29.,H8,"68,01","601,70"
2012.03.29.,H9,"52,92","511,80"
2012.03.29.,H10,"46,83","477,60"
2012.03.29.,H11,"45,26","590,70"
2012.03.29.,H12,"55,98","640,40"
2012.03.29.,H13,"57,51","694,10"
2012.03.29.,H14,"55,97","625,60"
2012.03.29.,H15,"60,02","529,10"
2012.03.29.,H16,"60,02","554,70"
2012.03.29.,H17,"60,01","541,40"
2012.03.29.,H18,"40,00","504,70"
2012.03.29.,H19,"57,51","594,30"
2012.03.29.,H20,"107,11","508,90"
2012.03.29.,H21,"105,00","609,50"
2012.03.29.,H22,"68,01","522,00"
2012.03.29.,H23,"49,05","679,30"
2012.03.29.,H24,"50,01","717,40"
2012.03.30.,H1,"30,00","867,90"
2012.03.30.,H2,"21,22","792,40"
2012.03.30.,H3,"17,04","743,30"
2012.03.30.,H4,"16,10","735,20"
2012.03.30.,H5,"16,07","722,20"
2012.03.30.,H6,"27,01","695,60"
2012.03.30.,H7,"40,01","573,40"
2012.03.30.,H8,"77,00","610,30"
2012.03.30.,H9,"63,00","467,20"
2012.03.30.,H10,"63,01","491,90"
2012.03.30.,H11,"85,00","493,10"
2012.03.30.,H12,"74,01","460,10"
2012.03.30.,H13,"85,00","451,20"
2012.03.30.,H14,"68,01","465,10"
2012.03.30.,H15,"63,01","462,90"
2012.03.30.,H16,"51,97","473,90"
2012.03.30.,H17,"51,10","482,60"
2012.03.30.,H18,"51,28","444,40"
2012.03.30.,H19,"46,04","461,70"
2012.03.30.,H20,"63,00","510,10"
2012.03.30.,H21,"85,01","660,10"
2012.03.30.,H22,"63,01","506,70"
2012.03.30.,H23,"48,05","718,00"
2012.03.30.,H24,"39,29","724,60"
2012.03.31.,H1,"25,00","682,30"
2012.03.31.,H2,"16,69","659,60"
2012.03.31.,H3,"8,15","672,00"
2012.03.31.,H4,"6,46","616,80"
2012.03.31.,H5,"5,50","570,50"
2012.03.31.,H6,"9,01","606,40"
2012.03.31.,H7,"12,65","593,60"
2012.03.31.,H8,"24,98","519,90"
2012.03.31.,H9,"31,04","490,70"
2012.03.31.,H10,"30,17","379,80"
2012.03.31.,H11,"30,75","380,50"
2012.03.31.,H12,"32,22","380,30"
2012.03.31.,H13,"31,16","459,70"
2012.03.31.,H14,"23,43","346,40"
2012.03.31.,H15,"20,55","388,50"
2012.03.31.,H16,"21,93","397,20"
2012.03.31.,H17,"24,71","427,60"
2012.03.31.,H18,"28,23","522,10"
2012.03.31.,H19,"40,26","445,10"
2012.03.31.,H20,"54,25","557,40"
2012.03.31.,H21,"60,01","684,60"
2012.03.31.,H22,"51,05","559,20"
2012.03.31.,H23,"42,25","746,80"
2012.03.31.,H24,"33,43","795,80"
2012.04.01.,H1,"112,01","499,40"
2012.04.01.,H2,"100,00","513,50"
2012.04.01.,H3,"99,99","515,00"
2012.04.01.,H4,"66,57","478,70"
2012.04.01.,H5,"35,73","540,70"
2012.04.01.,H6,"35,01","540,10"
2012.04.01.,H7,"19,01","414,40"
2012.04.01.,H8,"35,74","522,50"
2012.04.01.,H9,"65,01","648,20"
2012.04.01.,H10,"115,11","535,10"
2012.04.01.,H11,"115,11","469,60"
2012.04.01.,H12,"115,11","470,60"
2012.04.01.,H13,"115,11","490,40"
2012.04.01.,H14,"101,92","513,50"
2012.04.01.,H15,"99,44","514,50"
2012.04.01.,H16,"66,58","574,80"
2012.04.01.,H17,"50,51","609,10"
2012.04.01.,H18,"35,74","579,20"
2012.04.01.,H19,"62,01","607,20"
2012.04.01.,H20,"120,89","896,50"
2012.04.01.,H21,"151,00","874,30"
2012.04.01.,H22,"120,01","749,20"
2012.04.01.,H23,"68,01","677,20"
2012.04.01.,H24,"30,05","473,40"
2012.04.02.,H1,"20,23","531,40"
2012.04.02.,H2,"18,09","595,80"
2012.04.02.,H3,"14,51","696,50"
2012.04.02.,H4,"11,76","684,40"
2012.04.02.,H5,"12,51","655,30"
2012.04.02.,H6,"23,05","506,70"
2012.04.02.,H7,"75,01","502,40"
2012.04.02.,H8,"160,01","568,70"
2012.04.02.,H9,"101,05","482,80"
2012.04.02.,H10,"92,51","473,30"
2012.04.02.,H11,"92,50","445,10"
2012.04.02.,H12,"92,50","458,50"
2012.04.02.,H13,"92,51","494,50"
2012.04.02.,H14,"81,50","543,60"
2012.04.02.,H15,"49,00","535,70"
2012.04.02.,H16,"46,15","551,10"
2012.04.02.,H17,"45,07","557,60"
2012.04.02.,H18,"45,01","571,70"
2012.04.02.,H19,"46,88","762,20"
2012.04.02.,H20,"100,01","647,20"
2012.04.02.,H21,"130,75","692,20"
2012.04.02.,H22,"105,00","592,50"
2012.04.02.,H23,"105,01","654,60"
2012.04.02.,H24,"115,11","662,20"
2012.04.03.,H1,"52,57","466,70"
2012.04.03.,H2,"37,51","517,80"
2012.04.03.,H3,"33,01","592,50"
2012.04.03.,H4,"31,21","588,60"
2012.04.03.,H5,"32,68","553,60"
2012.04.03.,H6,"45,68","498,00"
2012.04.03.,H7,"105,00","430,10"
2012.04.03.,H8,"74,21","594,50"
2012.04.03.,H9,"68,82","624,40"
2012.04.03.,H10,"65,47","482,20"
2012.04.03.,H11,"56,21","507,40"
2012.04.03.,H12,"51,21","677,40"
2012.04.03.,H13,"51,20","822,30"
2012.04.03.,H14,"49,04","740,20"
2012.04.03.,H15,"47,01","536,90"
2012.04.03.,H16,"47,55","386,20"
2012.04.03.,H17,"45,29","416,50"
2012.04.03.,H18,"48,00","492,90"
2012.04.03.,H19,"50,87","433,80"
2012.04.03.,H20,"55,68","436,40"
2012.04.03.,H21,"79,01","462,70"
2012.04.03.,H22,"52,75","409,60"
2012.04.03.,H23,"50,00","468,90"
2012.04.03.,H24,"44,93","621,20"
2012.04.04.,H1,"38,04","387,80"
2012.04.04.,H2,"34,44","489,70"
2012.04.04.,H3,"31,04","658,90"
2012.04.04.,H4,"29,20","662,40"
2012.04.04.,H5,"28,88","610,30"
2012.04.04.,H6,"34,04","518,90"
2012.04.04.,H7,"48,00","385,90"
2012.04.04.,H8,"95,00","538,30"
2012.04.04.,H9,"74,66","432,40"
2012.04.04.,H10,"74,84","413,00"
2012.04.04.,H11,"86,02","362,80"
2012.04.04.,H12,"105,00","396,80"
2012.04.04.,H13,"105,00","401,90"
2012.04.04.,H14,"95,01","370,30"
2012.04.04.,H15,"95,01","403,80"
2012.04.04.,H16,"95,00","432,50"
2012.04.04.,H17,"78,01","434,20"
2012.04.04.,H18,"50,52","374,20"
2012.04.04.,H19,"57,19","402,90"
2012.04.04.,H20,"100,01","477,10"
2012.04.04.,H21,"145,03","588,10"
2012.04.04.,H22,"86,04","418,00"
2012.04.04.,H23,"70,98","525,00"
2012.04.04.,H24,"42,64","582,10"
2012.04.05.,H1,"42,81","540,70"
2012.04.05.,H2,"36,43","524,00"
2012.04.05.,H3,"34,04","559,40"
2012.04.05.,H4,"32,36","486,80"
2012.04.05.,H5,"33,57","457,60"
2012.04.05.,H6,"38,52","546,00"
2012.04.05.,H7,"66,57","637,10"
2012.04.05.,H8,"74,11","612,30"
2012.04.05.,H9,"66,05","700,80"
2012.04.05.,H10,"63,70","656,10"
2012.04.05.,H11,"63,98","629,50"
2012.04.05.,H12,"65,26","624,10"
2012.04.05.,H13,"59,97","694,70"
2012.04.05.,H14,"56,81","684,10"
2012.04.05.,H15,"58,21","714,60"
2012.04.05.,H16,"58,21","688,50"
2012.04.05.,H17,"58,21","650,70"
2012.04.05.,H18,"56,80","591,70"
2012.04.05.,H19,"60,00","603,10"
2012.04.05.,H20,"70,01","694,30"
2012.04.05.,H21,"79,05","570,90"
2012.04.05.,H22,"78,04","649,20"
2012.04.05.,H23,"52,50","687,10"
2012.04.05.,H24,"47,17","687,50"
2012.04.06.,H1,"40,01","406,80"
2012.04.06.,H2,"34,98","456,20"
2012.04.06.,H3,"30,73","611,10"
2012.04.06.,H4,"28,13","627,80"
2012.04.06.,H5,"29,00","592,70"
2012.04.06.,H6,"30,01","591,90"
2012.04.06.,H7,"37,51","433,70"
2012.04.06.,H8,"95,01","524,70"
2012.04.06.,H9,"95,00","465,60"
2012.04.06.,H10,"82,50","469,60"
2012.04.06.,H11,"82,51","445,80"
2012.04.06.,H12,"95,01","409,60"
2012.04.06.,H13,"82,50","457,90"
2012.04.06.,H14,"78,00","470,00"
2012.04.06.,H15,"70,01","494,30"
2012.04.06.,H16,"67,00","575,50"
2012.04.06.,H17,"70,01","536,70"
2012.04.06.,H18,"70,00","483,10"
2012.04.06.,H19,"47,21","450,90"
2012.04.06.,H20,"64,98","492,90"
2012.04.06.,H21,"106,05","480,90"
2012.04.06.,H22,"48,14","443,60"
2012.04.06.,H23,"43,98","534,50"
2012.04.06.,H24,"36,45","654,70"
2012.04.07.,H1,"40,84","573,00"
2012.04.07.,H2,"34,26","688,50"
2012.04.07.,H3,"28,33","717,70"
2012.04.07.,H4,"26,12","783,30"
2012.04.07.,H5,"24,26","770,10"
2012.04.07.,H6,"26,00","734,40"
2012.04.07.,H7,"22,88","669,20"
2012.04.07.,H8,"31,01","513,70"
2012.04.07.,H9,"37,51","475,80"
2012.04.07.,H10,"40,29","449,30"
2012.04.07.,H11,"41,03","465,90"
2012.04.07.,H12,"40,27","439,90"
2012.04.07.,H13,"39,96","434,60"
2012.04.07.,H14,"35,01","450,30"
2012.04.07.,H15,"30,00","443,90"
2012.04.07.,H16,"25,78","437,30"
2012.04.07.,H17,"26,65","443,50"
2012.04.07.,H18,"32,00","438,40"
2012.04.07.,H19,"39,77","466,00"
2012.04.07.,H20,"47,66","511,70"
2012.04.07.,H21,"55,00","602,30"
2012.04.07.,H22,"44,17","500,30"
2012.04.07.,H23,"41,38","683,50"
2012.04.07.,H24,"35,73","742,00"
2012.04.08.,H1,"27,05","775,80"
2012.04.08.,H2,"21,01","799,70"
2012.04.08.,H3,"12,77","849,80"
2012.04.08.,H4,"10,41","815,10"
2012.04.08.,H5,"9,20","805,20"
2012.04.08.,H6,"5,60","909,20"
2012.04.08.,H7,"4,91","926,20"
2012.04.08.,H8,"15,01","750,00"
2012.04.08.,H9,"22,78","665,00"
2012.04.08.,H10,"28,07","489,80"
2012.04.08.,H11,"29,19","493,80"
2012.04.08.,H12,"30,31","531,70"
2012.04.08.,H13,"30,00","566,80"
2012.04.08.,H14,"17,04","545,40"
2012.04.08.,H15,"12,81","522,50"
2012.04.08.,H16,"12,71","491,50"
2012.04.08.,H17,"18,84","565,90"
2012.04.08.,H18,"24,85","564,10"
2012.04.08.,H19,"32,10","535,80"
2012.04.08.,H20,"42,04","514,60"
2012.04.08.,H21,"50,19","447,20"
2012.04.08.,H22,"42,51","465,80"
2012.04.08.,H23,"41,25","614,80"
2012.04.08.,H24,"27,04","730,20"
2012.04.09.,H1,"19,29","888,00"
2012.04.09.,H2,"15,62","983,10"
2012.04.09.,H3,"8,87","981,20"
2012.04.09.,H4,"5,05","995,90"
2012.04.09.,H5,"1,46","987,70"
2012.04.09.,H6,"1,35","1 045,00"
2012.04.09.,H7,"1,06","1 035,50"
2012.04.09.,H8,"12,36","811,10"
2012.04.09.,H9,"19,01","569,30"
2012.04.09.,H10,"22,50","564,00"
2012.04.09.,H11,"25,00","648,00"
2012.04.09.,H12,"27,04","654,70"
2012.04.09.,H13,"25,01","612,30"
2012.04.09.,H14,"17,25","591,30"
2012.04.09.,H15,"12,01","573,20"
2012.04.09.,H16,"12,51","508,50"
2012.04.09.,H17,"15,62","497,30"
2012.04.09.,H18,"20,26","554,80"
2012.04.09.,H19,"30,30","668,90"
2012.04.09.,H20,"40,50","488,60"
2012.04.09.,H21,"45,93","587,90"
2012.04.09.,H22,"40,01","621,10"
2012.04.09.,H23,"35,75","724,00"
2012.04.09.,H24,"25,03","802,50"
2012.04.10.,H1,"15,05","744,50"
2012.04.10.,H2,"9,23","805,20"
2012.04.10.,H3,"5,05","839,10"
2012.04.10.,H4,"4,01","811,60"
2012.04.10.,H5,"7,36","760,20"
2012.04.10.,H6,"13,88","708,00"
2012.04.10.,H7,"40,74","527,90"
2012.04.10.,H8,"60,01","645,90"
2012.04.10.,H9,"60,00","504,00"
2012.04.10.,H10,"54,05","506,20"
2012.04.10.,H11,"113,00","565,90"
2012.04.10.,H12,"111,05","567,50"
2012.04.10.,H13,"113,01","598,70"
2012.04.10.,H14,"111,04","562,30"
2012.04.10.,H15,"83,01","555,90"
2012.04.10.,H16,"83,00","559,00"
2012.04.10.,H17,"67,00","523,90"
2012.04.10.,H18,"60,00","475,00"
2012.04.10.,H19,"80,01","535,30"
2012.04.10.,H20,"120,01","682,00"
2012.04.10.,H21,"140,01","690,10"
2012.04.10.,H22,"95,05","534,30"
2012.04.10.,H23,"54,06","550,70"
2012.04.10.,H24,"54,05","630,60"
2012.04.11.,H1,"64,00","426,80"
2012.04.11.,H2,"39,96","507,00"
2012.04.11.,H3,"34,51","591,30"
2012.04.11.,H4,"32,61","574,10"
2012.04.11.,H5,"35,18","566,00"
2012.04.11.,H6,"52,17","437,10"
2012.04.11.,H7,"80,00","482,50"
2012.04.11.,H8,"116,04","630,80"
2012.04.11.,H9,"116,04","467,40"
2012.04.11.,H10,"115,01","432,60"
2012.04.11.,H11,"98,19","462,90"
2012.04.11.,H12,"105,00","468,30"
2012.04.11.,H13,"105,00","473,20"
2012.04.11.,H14,"98,20","460,90"
2012.04.11.,H15,"116,05","502,10"
2012.04.11.,H16,"116,04","502,40"
2012.04.11.,H17,"98,16","483,00"
2012.04.11.,H18,"67,01","496,50"
2012.04.11.,H19,"75,32","530,20"
2012.04.11.,H20,"89,05","546,00"
2012.04.11.,H21,"102,37","666,90"
2012.04.11.,H22,"95,00","581,70"
2012.04.11.,H23,"95,01","556,50"
2012.04.11.,H24,"54,61","564,90"
2012.04.12.,H1,"65,00","552,70"
2012.04.12.,H2,"40,47","520,20"
2012.04.12.,H3,"38,20","618,00"
2012.04.12.,H4,"36,71","638,20"
2012.04.12.,H5,"38,93","644,80"
2012.04.12.,H6,"50,00","535,40"
2012.04.12.,H7,"62,00","508,20"
2012.04.12.,H8,"99,00","639,00"
2012.04.12.,H9,"83,01","509,80"
2012.04.12.,H10,"80,50","478,00"
2012.04.12.,H11,"67,95","536,30"
2012.04.12.,H12,"62,00","505,30"
2012.04.12.,H13,"60,01","509,70"
2012.04.12.,H14,"60,00","511,40"
2012.04.12.,H15,"59,98","535,00"
2012.04.12.,H16,"60,00","548,30"
2012.04.12.,H17,"60,01","536,70"
2012.04.12.,H18,"52,08","440,10"
2012.04.12.,H19,"58,43","459,20"
2012.04.12.,H20,"57,05","498,40"
2012.04.12.,H21,"66,64","511,00"
2012.04.12.,H22,"56,00","427,50"
2012.04.12.,H23,"53,13","484,50"
2012.04.12.,H24,"50,40","567,40"
2012.04.13.,H1,"42,00","483,00"
2012.04.13.,H2,"37,81","549,80"
2012.04.13.,H3,"35,25","686,90"
2012.04.13.,H4,"34,44","714,70"
2012.04.13.,H5,"34,05","683,50"
2012.04.13.,H6,"39,29","590,00"
2012.04.13.,H7,"52,58","553,50"
2012.04.13.,H8,"61,71","643,60"
2012.04.13.,H9,"65,68","494,90"
2012.04.13.,H10,"64,06","485,80"
2012.04.13.,H11,"60,75","479,60"
2012.04.13.,H12,"60,86","473,70"
2012.04.13.,H13,"55,68","501,10"
2012.04.13.,H14,"51,23","460,60"
2012.04.13.,H15,"49,02","464,60"
2012.04.13.,H16,"47,24","479,80"
2012.04.13.,H17,"44,52","411,40"
2012.04.13.,H18,"46,00","433,20"
2012.04.13.,H19,"51,91","496,20"
2012.04.13.,H20,"56,12","611,80"
2012.04.13.,H21,"65,82","729,00"
2012.04.13.,H22,"55,65","563,60"
2012.04.13.,H23,"51,91","602,10"
2012.04.13.,H24,"45,62","745,50"
2012.04.14.,H1,"48,36","588,40"
2012.04.14.,H2,"42,80","548,10"
2012.04.14.,H3,"39,95","546,70"
2012.04.14.,H4,"36,67","657,60"
2012.04.14.,H5,"36,05","622,10"
2012.04.14.,H6,"38,00","558,10"
2012.04.14.,H7,"41,00","443,00"
2012.04.14.,H8,"47,40","437,50"
2012.04.14.,H9,"49,99","546,00"
2012.04.14.,H10,"54,21","388,20"
2012.04.14.,H11,"54,36","432,50"
2012.04.14.,H12,"50,95","478,10"
2012.04.14.,H13,"49,72","513,00"
2012.04.14.,H14,"44,69","539,20"
2012.04.14.,H15,"43,01","479,80"
2012.04.14.,H16,"42,01","549,70"
2012.04.14.,H17,"39,95","520,70"
2012.04.14.,H18,"44,15","535,20"
2012.04.14.,H19,"50,99","523,20"
2012.04.14.,H20,"65,01","625,30"
2012.04.14.,H21,"92,01","606,30"
2012.04.14.,H22,"65,01","563,80"
2012.04.14.,H23,"62,50","668,40"
2012.04.14.,H24,"46,72","660,60"
2012.04.15.,H1,"34,01","705,30"
2012.04.15.,H2,"28,31","761,70"
2012.04.15.,H3,"21,35","834,60"
2012.04.15.,H4,"19,51","830,70"
2012.04.15.,H5,"19,51","829,20"
2012.04.15.,H6,"20,00","807,20"
2012.04.15.,H7,"17,04","816,60"
2012.04.15.,H8,"25,00","569,00"
2012.04.15.,H9,"28,98","605,20"
2012.04.15.,H10,"35,91","433,10"
2012.04.15.,H11,"38,10","424,70"
2012.04.15.,H12,"45,89","442,60"
2012.04.15.,H13,"42,51","412,80"
2012.04.15.,H14,"29,34","454,30"
2012.04.15.,H15,"26,16","465,70"
2012.04.15.,H16,"25,01","523,90"
2012.04.15.,H17,"24,56","454,30"
2012.04.15.,H18,"26,81","434,40"
2012.04.15.,H19,"33,79","371,40"
2012.04.15.,H20,"50,01","540,20"
2012.04.15.,H21,"77,96","513,80"
2012.04.15.,H22,"47,61","410,50"
2012.04.15.,H23,"43,92","522,30"
2012.04.15.,H24,"30,71","897,50"
2012.04.16.,H1,"29,02","824,50"
2012.04.16.,H2,"23,60","929,90"
2012.04.16.,H3,"19,35","1 007,60"
2012.04.16.,H4,"19,03","962,70"
2012.04.16.,H5,"21,74","920,90"
2012.04.16.,H6,"29,44","727,90"
2012.04.16.,H7,"44,06","659,90"
2012.04.16.,H8,"64,13","631,80"
2012.04.16.,H9,"67,41","675,60"
2012.04.16.,H10,"65,01","627,90"
2012.04.16.,H11,"62,98","652,20"
2012.04.16.,H12,"59,87","642,70"
2012.04.16.,H13,"57,95","683,10"
2012.04.16.,H14,"51,59","609,70"
2012.04.16.,H15,"47,00","616,80"
2012.04.16.,H16,"45,00","610,60"
2012.04.16.,H17,"43,99","625,00"
2012.04.16.,H18,"45,14","630,90"
2012.04.16.,H19,"54,75","560,00"
2012.04.16.,H20,"62,20","623,90"
2012.04.16.,H21,"68,97","628,30"
2012.04.16.,H22,"59,91","451,20"
2012.04.16.,H23,"54,99","662,20"
2012.04.16.,H24,"47,94","884,10"
2012.04.17.,H1,"46,50","637,70"
2012.04.17.,H2,"40,24","527,70"
2012.04.17.,H3,"37,01","611,20"
2012.04.17.,H4,"36,15","706,50"
2012.04.17.,H5,"36,20","718,20"
2012.04.17.,H6,"41,03","545,70"
2012.04.17.,H7,"55,25","585,00"
2012.04.17.,H8,"120,00","602,80"
2012.04.17.,H9,"150,01","557,20"
2012.04.17.,H10,"125,53","612,60"
2012.04.17.,H11,"150,00","606,10"
2012.04.17.,H12,"150,00","625,10"
2012.04.17.,H13,"150,01","626,00"
2012.04.17.,H14,"111,05","613,60"
2012.04.17.,H15,"111,00","572,80"
2012.04.17.,H16,"111,05","576,50"
2012.04.17.,H17,"110,02","613,20"
2012.04.17.,H18,"109,98","546,60"
2012.04.17.,H19,"100,01","524,20"
