Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.01.06.,H12,"46,49","631,30"
2012.01.06.,H13,"45,00","572,20"
2012.01.06.,H14,"43,01","551,50"
2012.01.06.,H15,"42,50","526,60"
2012.01.06.,H16,"41,38","586,80"
2012.01.06.,H17,"46,92","529,30"
2012.01.06.,H18,"54,93","503,30"
2012.01.06.,H19,"59,00","642,30"
2012.01.06.,H20,"53,08","702,20"
2012.01.06.,H21,"50,05","591,30"
2012.01.06.,H22,"42,01","702,80"
2012.01.06.,H23,"41,04","728,60"
2012.01.06.,H24,"33,30","718,60"
2012.01.07.,H1,"34,57","561,90"
2012.01.07.,H2,"27,08","697,60"
2012.01.07.,H3,"19,78","708,30"
2012.01.07.,H4,"15,03","686,20"
2012.01.07.,H5,"14,00","676,40"
2012.01.07.,H6,"15,87","695,90"
2012.01.07.,H7,"16,00","686,60"
2012.01.07.,H8,"30,08","641,10"
2012.01.07.,H9,"69,98","606,30"
2012.01.07.,H10,"114,11","548,40"
2012.01.07.,H11,"114,12","546,10"
2012.01.07.,H12,"114,12","555,50"
2012.01.07.,H13,"114,12","599,90"
2012.01.07.,H14,"114,11","620,80"
2012.01.07.,H15,"100,01","606,50"
2012.01.07.,H16,"114,11","559,30"
2012.01.07.,H17,"115,11","577,00"
2012.01.07.,H18,"115,11","570,80"
2012.01.07.,H19,"114,12","553,50"
2012.01.07.,H20,"114,12","526,30"
2012.01.07.,H21,"114,12","520,30"
2012.01.07.,H22,"65,01","552,30"
2012.01.07.,H23,"37,30","608,30"
2012.01.07.,H24,"25,90","728,10"
2012.01.08.,H1,"22,87","610,70"
2012.01.08.,H2,"15,50","643,00"
2012.01.08.,H3,"9,91","640,20"
2012.01.08.,H4,"5,01","650,00"
2012.01.08.,H5,"4,82","635,80"
2012.01.08.,H6,"6,74","562,70"
2012.01.08.,H7,"3,00","629,30"
2012.01.08.,H8,"10,94","658,90"
2012.01.08.,H9,"22,23","715,00"
2012.01.08.,H10,"70,00","538,80"
2012.01.08.,H11,"78,00","568,90"
2012.01.08.,H12,"120,00","573,60"
2012.01.08.,H13,"95,01","559,10"
2012.01.08.,H14,"65,00","539,80"
2012.01.08.,H15,"37,26","552,80"
2012.01.08.,H16,"70,00","520,70"
2012.01.08.,H17,"103,12","601,00"
2012.01.08.,H18,"107,26","601,10"
2012.01.08.,H19,"109,03","569,50"
2012.01.08.,H20,"111,30","568,50"
2012.01.08.,H21,"103,12","588,10"
2012.01.08.,H22,"70,01","580,40"
2012.01.08.,H23,"43,00","625,00"
2012.01.08.,H24,"33,85","871,80"
2012.01.09.,H1,"35,66","867,50"
2012.01.09.,H2,"32,07","966,40"
2012.01.09.,H3,"30,95","945,60"
2012.01.09.,H4,"28,67","916,90"
2012.01.09.,H5,"30,14","889,30"
2012.01.09.,H6,"39,07","724,80"
2012.01.09.,H7,"46,85","766,00"
2012.01.09.,H8,"58,40","641,40"
2012.01.09.,H9,"58,49","631,40"
2012.01.09.,H10,"59,01","570,00"
2012.01.09.,H11,"58,82","539,40"
2012.01.09.,H12,"58,23","529,90"
2012.01.09.,H13,"57,50","581,20"
2012.01.09.,H14,"56,11","605,20"
2012.01.09.,H15,"53,98","605,20"
2012.01.09.,H16,"55,00","571,20"
2012.01.09.,H17,"58,05","579,00"
2012.01.09.,H18,"67,01","542,20"
2012.01.09.,H19,"71,00","602,80"
2012.01.09.,H20,"61,05","610,30"
2012.01.09.,H21,"67,01","615,60"
2012.01.09.,H22,"60,01","668,70"
2012.01.09.,H23,"69,97","692,30"
2012.01.09.,H24,"45,01","647,30"
2012.01.10.,H1,"33,96","778,00"
2012.01.10.,H2,"31,24","846,50"
2012.01.10.,H3,"28,01","832,30"
2012.01.10.,H4,"25,01","860,80"
2012.01.10.,H5,"25,87","866,20"
2012.01.10.,H6,"35,22","634,70"
2012.01.10.,H7,"41,52","641,20"
2012.01.10.,H8,"59,04","603,70"
2012.01.10.,H9,"56,11","563,60"
2012.01.10.,H10,"55,80","547,30"
2012.01.10.,H11,"55,60","563,50"
2012.01.10.,H12,"55,61","538,50"
2012.01.10.,H13,"55,61","499,10"
2012.01.10.,H14,"54,77","536,20"
2012.01.10.,H15,"54,66","505,60"
2012.01.10.,H16,"56,01","464,50"
2012.01.10.,H17,"100,01","573,80"
2012.01.10.,H18,"68,04","532,40"
2012.01.10.,H19,"68,80","530,50"
2012.01.10.,H20,"60,23","491,40"
2012.01.10.,H21,"61,00","599,40"
2012.01.10.,H22,"66,01","726,20"
2012.01.10.,H23,"66,01","720,00"
2012.01.10.,H24,"46,70","752,00"
2012.01.11.,H1,"39,51","669,50"
2012.01.11.,H2,"35,39","765,20"
2012.01.11.,H3,"34,26","713,60"
2012.01.11.,H4,"31,35","765,90"
2012.01.11.,H5,"31,34","735,70"
2012.01.11.,H6,"36,60","737,10"
2012.01.11.,H7,"42,95","807,00"
2012.01.11.,H8,"52,02","608,20"
2012.01.11.,H9,"52,94","603,70"
2012.01.11.,H10,"52,04","550,90"
2012.01.11.,H11,"52,93","549,60"
2012.01.11.,H12,"52,67","563,20"
2012.01.11.,H13,"52,26","540,30"
2012.01.11.,H14,"53,50","555,00"
2012.01.11.,H15,"52,00","595,20"
2012.01.11.,H16,"52,09","541,10"
2012.01.11.,H17,"55,61","533,20"
2012.01.11.,H18,"63,05","457,90"
2012.01.11.,H19,"62,47","552,90"
2012.01.11.,H20,"56,93","519,00"
2012.01.11.,H21,"55,04","625,60"
2012.01.11.,H22,"45,46","739,50"
2012.01.11.,H23,"43,51","746,20"
2012.01.11.,H24,"37,51","684,00"
2012.01.12.,H1,"47,50","704,10"
2012.01.12.,H2,"33,42","744,20"
2012.01.12.,H3,"26,50","802,60"
