Date,Hours,Prices (EUR/MWh)
01.01.2015,H1,45.07
01.01.2015,H2,44.16
01.01.2015,H3,39.17
01.01.2015,H4,26.93
01.01.2015,H5,20.94
01.01.2015,H6,18.52
01.01.2015,H7,17.29
01.01.2015,H8,17.39
01.01.2015,H9,16.95
01.01.2015,H10,20.61
01.01.2015,H11,23.21
01.01.2015,H12,25.84
01.01.2015,H13,26.25
01.01.2015,H14,24.83
01.01.2015,H15,24.03
01.01.2015,H16,23.90
01.01.2015,H17,44.16
01.01.2015,H18,48.62
01.01.2015,H19,50.02
01.01.2015,H20,52.04
01.01.2015,H21,51.08
01.01.2015,H22,45.04
01.01.2015,H23,45.07
01.01.2015,H24,43.04
02.01.2015,H1,40.07
02.01.2015,H2,31.01
02.01.2015,H3,13.61
02.01.2015,H4,6.69
02.01.2015,H5,2.90
02.01.2015,H6,21.86
02.01.2015,H7,13.61
02.01.2015,H8,40.16
02.01.2015,H9,46.18
02.01.2015,H10,48.86
02.01.2015,H11,52.43
02.01.2015,H12,60.03
02.01.2015,H13,58.49
02.01.2015,H14,46.85
02.01.2015,H15,45.08
02.01.2015,H16,45.96
02.01.2015,H17,60.07
02.01.2015,H18,83.01
02.01.2015,H19,70.07
02.01.2015,H20,60.05
02.01.2015,H21,60.01
02.01.2015,H22,53.51
02.01.2015,H23,45.08
02.01.2015,H24,45.02
03.01.2015,H1,2.75
03.01.2015,H2,2.19
03.01.2015,H3,1.12
03.01.2015,H4,1.56
03.01.2015,H5,2.23
03.01.2015,H6,18.07
03.01.2015,H7,44.62
03.01.2015,H8,45.10
03.01.2015,H9,51.09
03.01.2015,H10,55.33
03.01.2015,H11,55.02
03.01.2015,H12,60.00
03.01.2015,H13,56.07
03.01.2015,H14,51.97
03.01.2015,H15,50.42
03.01.2015,H16,51.09
03.01.2015,H17,60.48
03.01.2015,H18,64.72
03.01.2015,H19,55.33
03.01.2015,H20,51.22
03.01.2015,H21,48.54
03.01.2015,H22,40.16
03.01.2015,H23,34.49
03.01.2015,H24,16.06
04.01.2015,H1,24.10
04.01.2015,H2,18.06
04.01.2015,H3,2.75
04.01.2015,H4,2.23
04.01.2015,H5,1.01
04.01.2015,H6,2.75
04.01.2015,H7,13.16
04.01.2015,H8,38.95
04.01.2015,H9,49.08
04.01.2015,H10,55.33
04.01.2015,H11,59.26
04.01.2015,H12,59.79
04.01.2015,H13,55.33
04.01.2015,H14,48.86
04.01.2015,H15,45.96
04.01.2015,H16,53.10
04.01.2015,H17,60.24
04.01.2015,H18,60.46
04.01.2015,H19,59.79
04.01.2015,H20,60.06
04.01.2015,H21,59.79
04.01.2015,H22,52.96
04.01.2015,H23,41.94
04.01.2015,H24,43.57
05.01.2015,H1,19.22
05.01.2015,H2,18.00
05.01.2015,H3,16.20
05.01.2015,H4,15.41
05.01.2015,H5,16.33
05.01.2015,H6,21.11
05.01.2015,H7,47.77
05.01.2015,H8,59.79
05.01.2015,H9,59.79
05.01.2015,H10,59.79
05.01.2015,H11,59.79
05.01.2015,H12,57.56
05.01.2015,H13,55.55
05.01.2015,H14,53.10
05.01.2015,H15,51.09
05.01.2015,H16,51.09
05.01.2015,H17,56.66
05.01.2015,H18,60.46
05.01.2015,H19,61.36
05.01.2015,H20,60.02
05.01.2015,H21,54.66
05.01.2015,H22,44.14
05.01.2015,H23,41.13
05.01.2015,H24,32.85
06.01.2015,H1,33.35
06.01.2015,H2,30.45
06.01.2015,H3,28.00
06.01.2015,H4,27.40
06.01.2015,H5,28.25
06.01.2015,H6,32.10
06.01.2015,H7,44.91
06.01.2015,H8,48.34
06.01.2015,H9,50.18
06.01.2015,H10,50.20
06.01.2015,H11,50.86
06.01.2015,H12,48.86
06.01.2015,H13,47.07
06.01.2015,H14,45.07
06.01.2015,H15,45.03
06.01.2015,H16,45.03
06.01.2015,H17,52.65
06.01.2015,H18,55.55
06.01.2015,H19,55.33
06.01.2015,H20,51.09
06.01.2015,H21,45.06
06.01.2015,H22,37.08
06.01.2015,H23,45.02
06.01.2015,H24,45.07
07.01.2015,H1,28.21
07.01.2015,H2,27.00
07.01.2015,H3,25.80
07.01.2015,H4,26.20
07.01.2015,H5,26.50
07.01.2015,H6,27.95
07.01.2015,H7,34.24
07.01.2015,H8,48.70
07.01.2015,H9,51.14
07.01.2015,H10,52.25
07.01.2015,H11,49.95
07.01.2015,H12,50.03
07.01.2015,H13,49.76
07.01.2015,H14,50.70
07.01.2015,H15,54.92
07.01.2015,H16,59.72
07.01.2015,H17,67.56
07.01.2015,H18,63.78
07.01.2015,H19,63.37
07.01.2015,H20,61.81
07.01.2015,H21,61.81
07.01.2015,H22,55.63
07.01.2015,H23,54.92
07.01.2015,H24,48.70
08.01.2015,H1,46.55
08.01.2015,H2,43.95
08.01.2015,H3,40.02
08.01.2015,H4,39.81
08.01.2015,H5,42.19
08.01.2015,H6,55.49
08.01.2015,H7,65.58
08.01.2015,H8,67.80
08.01.2015,H9,66.69
08.01.2015,H10,67.80
08.01.2015,H11,66.69
08.01.2015,H12,66.77
08.01.2015,H13,65.58
08.01.2015,H14,65.58
08.01.2015,H15,66.69
08.01.2015,H16,65.58
08.01.2015,H17,66.25
08.01.2015,H18,67.80
08.01.2015,H19,65.58
08.01.2015,H20,65.01
08.01.2015,H21,63.36
08.01.2015,H22,53.07
08.01.2015,H23,54.77
08.01.2015,H24,47.81
09.01.2015,H1,40.04
09.01.2015,H2,18.02
09.01.2015,H3,9.95
09.01.2015,H4,7.05
09.01.2015,H5,8.35
09.01.2015,H6,24.24
09.01.2015,H7,43.01
09.01.2015,H8,60.02
09.01.2015,H9,55.60
09.01.2015,H10,59.61
09.01.2015,H11,60.07
09.01.2015,H12,60.05
09.01.2015,H13,51.82
09.01.2015,H14,49.00
09.01.2015,H15,49.49
09.01.2015,H16,54.94
09.01.2015,H17,60.28
09.01.2015,H18,68.00
09.01.2015,H19,62.02
09.01.2015,H20,58.94
09.01.2015,H21,45.82
09.01.2015,H22,40.04
09.01.2015,H23,44.53
09.01.2015,H24,34.48
10.01.2015,H1,24.39
10.01.2015,H2,39.36
10.01.2015,H3,5.10
10.01.2015,H4,6.00
10.01.2015,H5,7.00
10.01.2015,H6,6.91
10.01.2015,H7,37.13
10.01.2015,H8,52.01
10.01.2015,H9,53.20
10.01.2015,H10,51.38
10.01.2015,H11,54.00
10.01.2015,H12,47.57
10.01.2015,H13,48.42
10.01.2015,H14,45.90
10.01.2015,H15,45.90
10.01.2015,H16,60.01
10.01.2015,H17,60.38
10.01.2015,H18,61.07
10.01.2015,H19,61.06
