Date,Hours,Prices (EUR/MWh)
10.01.2015,H20,61.00
10.01.2015,H21,60.06
10.01.2015,H22,61.05
10.01.2015,H23,59.49
10.01.2015,H24,45.06
11.01.2015,H1,42.11
11.01.2015,H2,1.79
11.01.2015,H3,0.22
11.01.2015,H4,0.22
11.01.2015,H5,0.22
11.01.2015,H6,0.85
11.01.2015,H7,0.89
11.01.2015,H8,18.05
11.01.2015,H9,34.53
11.01.2015,H10,35.08
11.01.2015,H11,39.03
11.01.2015,H12,43.22
11.01.2015,H13,42.33
11.01.2015,H14,38.08
11.01.2015,H15,42.23
11.01.2015,H16,45.00
11.01.2015,H17,59.46
11.01.2015,H18,60.37
11.01.2015,H19,60.37
11.01.2015,H20,65.69
11.01.2015,H21,60.93
11.01.2015,H22,52.01
11.01.2015,H23,45.06
11.01.2015,H24,35.08
12.01.2015,H1,1.65
12.01.2015,H2,1.00
12.01.2015,H3,0.22
12.01.2015,H4,0.45
12.01.2015,H5,13.14
12.01.2015,H6,41.32
12.01.2015,H7,45.07
12.01.2015,H8,48.79
12.01.2015,H9,58.06
12.01.2015,H10,52.08
12.01.2015,H11,45.45
12.01.2015,H12,45.45
12.01.2015,H13,45.00
12.01.2015,H14,45.03
12.01.2015,H15,45.89
12.01.2015,H16,49.90
12.01.2015,H17,55.03
12.01.2015,H18,56.89
12.01.2015,H19,53.16
12.01.2015,H20,48.79
12.01.2015,H21,45.92
12.01.2015,H22,45.03
12.01.2015,H23,46.00
12.01.2015,H24,45.01
13.01.2015,H1,35.09
13.01.2015,H2,30.97
13.01.2015,H3,30.97
13.01.2015,H4,30.97
13.01.2015,H5,32.97
13.01.2015,H6,39.88
13.01.2015,H7,45.89
13.01.2015,H8,53.24
13.01.2015,H9,57.25
13.01.2015,H10,59.71
13.01.2015,H11,55.25
13.01.2015,H12,53.47
13.01.2015,H13,49.58
13.01.2015,H14,52.54
13.01.2015,H15,53.24
13.01.2015,H16,50.35
13.01.2015,H17,59.71
13.01.2015,H18,65.01
13.01.2015,H19,59.34
13.01.2015,H20,49.88
13.01.2015,H21,46.66
13.01.2015,H22,45.05
13.01.2015,H23,48.04
13.01.2015,H24,39.43
14.01.2015,H1,30.99
14.01.2015,H2,33.27
14.01.2015,H3,30.99
14.01.2015,H4,30.99
14.01.2015,H5,32.08
14.01.2015,H6,44.14
14.01.2015,H7,50.94
14.01.2015,H8,60.42
14.01.2015,H9,60.42
14.01.2015,H10,60.42
14.01.2015,H11,54.94
14.01.2015,H12,54.77
14.01.2015,H13,59.13
14.01.2015,H14,55.08
14.01.2015,H15,51.05
14.01.2015,H16,51.05
14.01.2015,H17,59.07
14.01.2015,H18,60.91
14.01.2015,H19,54.23
14.01.2015,H20,50.06
14.01.2015,H21,48.10
14.01.2015,H22,48.06
14.01.2015,H23,48.10
14.01.2015,H24,39.46
15.01.2015,H1,37.46
15.01.2015,H2,30.99
15.01.2015,H3,26.53
15.01.2015,H4,29.88
15.01.2015,H5,38.79
15.01.2015,H6,46.04
15.01.2015,H7,51.06
15.01.2015,H8,60.42
15.01.2015,H9,64.03
15.01.2015,H10,63.21
15.01.2015,H11,60.03
15.01.2015,H12,52.37
15.01.2015,H13,48.83
15.01.2015,H14,45.87
15.01.2015,H15,48.83
15.01.2015,H16,46.82
15.01.2015,H17,50.06
15.01.2015,H18,54.92
15.01.2015,H19,50.09
15.01.2015,H20,50.02
15.01.2015,H21,45.04
15.01.2015,H22,39.46
15.01.2015,H23,40.13
15.01.2015,H24,30.99
16.01.2015,H1,26.26
16.01.2015,H2,19.58
16.01.2015,H3,17.36
16.01.2015,H4,21.59
16.01.2015,H5,30.93
16.01.2015,H6,42.03
16.01.2015,H7,46.51
16.01.2015,H8,50.63
16.01.2015,H9,60.31
16.01.2015,H10,59.78
16.01.2015,H11,50.96
16.01.2015,H12,50.07
16.01.2015,H13,47.85
16.01.2015,H14,46.57
16.01.2015,H15,45.84
16.01.2015,H16,48.74
16.01.2015,H17,54.52
16.01.2015,H18,60.07
16.01.2015,H19,55.31
16.01.2015,H20,51.08
16.01.2015,H21,46.27
16.01.2015,H22,38.95
16.01.2015,H23,39.39
16.01.2015,H24,30.93
17.01.2015,H1,30.34
17.01.2015,H2,29.20
17.01.2015,H3,27.66
17.01.2015,H4,25.65
17.01.2015,H5,25.75
17.01.2015,H6,25.07
17.01.2015,H7,24.02
17.01.2015,H8,26.70
17.01.2015,H9,31.85
17.01.2015,H10,39.30
17.01.2015,H11,39.75
17.01.2015,H12,39.75
17.01.2015,H13,38.64
17.01.2015,H14,33.18
17.01.2015,H15,33.06
17.01.2015,H16,34.05
17.01.2015,H17,44.85
17.01.2015,H18,50.09
17.01.2015,H19,50.06
17.01.2015,H20,50.00
17.01.2015,H21,37.08
17.01.2015,H22,30.55
17.01.2015,H23,28.63
17.01.2015,H24,19.99
18.01.2015,H1,23.51
18.01.2015,H2,19.70
18.01.2015,H3,18.58
18.01.2015,H4,19.16
18.01.2015,H5,19.12
18.01.2015,H6,18.31
18.01.2015,H7,17.17
18.01.2015,H8,21.32
18.01.2015,H9,26.39
18.01.2015,H10,30.82
18.01.2015,H11,39.25
18.01.2015,H12,39.92
18.01.2015,H13,39.25
18.01.2015,H14,32.69
18.01.2015,H15,30.82
18.01.2015,H16,32.70
18.01.2015,H17,44.79
18.01.2015,H18,48.07
18.01.2015,H19,48.03
18.01.2015,H20,46.26
18.01.2015,H21,41.69
18.01.2015,H22,38.37
18.01.2015,H23,35.13
18.01.2015,H24,29.04
19.01.2015,H1,25.35
19.01.2015,H2,25.06
19.01.2015,H3,24.48
19.01.2015,H4,23.96
19.01.2015,H5,25.16
19.01.2015,H6,29.01
19.01.2015,H7,45.68
19.01.2015,H8,60.06
19.01.2015,H9,60.01
19.01.2015,H10,60.00
19.01.2015,H11,54.77
19.01.2015,H12,55.88
19.01.2015,H13,54.27
19.01.2015,H14,54.02
19.01.2015,H15,54.77
19.01.2015,H16,59.21
19.01.2015,H17,60.10
19.01.2015,H18,67.58
19.01.2015,H19,62.81
19.01.2015,H20,60.05
19.01.2015,H21,60.10
19.01.2015,H22,60.01
19.01.2015,H23,44.79
19.01.2015,H24,37.03
20.01.2015,H1,31.00
20.01.2015,H2,29.70
20.01.2015,H3,29.20
20.01.2015,H4,29.60
20.01.2015,H5,28.81
20.01.2015,H6,31.10
20.01.2015,H7,44.32
20.01.2015,H8,55.02
20.01.2015,H9,59.21
20.01.2015,H10,59.21
20.01.2015,H11,57.05
20.01.2015,H12,53.43
20.01.2015,H13,50.78
20.01.2015,H14,50.10
20.01.2015,H15,49.50
20.01.2015,H16,50.01
20.01.2015,H17,54.09
20.01.2015,H18,61.07
20.01.2015,H19,61.05
20.01.2015,H20,54.06
20.01.2015,H21,48.01
20.01.2015,H22,43.01
20.01.2015,H23,39.92
20.01.2015,H24,30.82
21.01.2015,H1,32.65
21.01.2015,H2,31.45
21.01.2015,H3,30.31
21.01.2015,H4,30.01
21.01.2015,H5,30.70
21.01.2015,H6,36.35
21.01.2015,H7,44.73
21.01.2015,H8,53.28
21.01.2015,H9,55.85
21.01.2015,H10,54.87
21.01.2015,H11,53.09
21.01.2015,H12,53.02
21.01.2015,H13,50.87
21.01.2015,H14,49.58
21.01.2015,H15,49.84
21.01.2015,H16,49.39
21.01.2015,H17,54.87
21.01.2015,H18,58.34
21.01.2015,H19,58.70
21.01.2015,H20,53.29
21.01.2015,H21,47.30
21.01.2015,H22,40.80
21.01.2015,H23,37.75
21.01.2015,H24,32.00
22.01.2015,H1,30.00
22.01.2015,H2,29.60
22.01.2015,H3,29.00
22.01.2015,H4,28.40
22.01.2015,H5,30.00
22.01.2015,H6,32.60
22.01.2015,H7,39.42
22.01.2015,H8,50.91
22.01.2015,H9,53.30
22.01.2015,H10,54.85
22.01.2015,H11,55.04
22.01.2015,H12,55.41
22.01.2015,H13,53.21
22.01.2015,H14,52.49
22.01.2015,H15,50.43
22.01.2015,H16,50.70
22.01.2015,H17,50.85
22.01.2015,H18,57.06
22.01.2015,H19,58.62
22.01.2015,H20,52.91
22.01.2015,H21,45.20
22.01.2015,H22,39.90
22.01.2015,H23,38.07
22.01.2015,H24,31.63
23.01.2015,H1,30.80
23.01.2015,H2,30.30
23.01.2015,H3,29.07
23.01.2015,H4,28.89
23.01.2015,H5,28.80
23.01.2015,H6,31.46
23.01.2015,H7,37.34
23.01.2015,H8,50.71
23.01.2015,H9,56.10
23.01.2015,H10,55.99
23.01.2015,H11,55.62
23.01.2015,H12,55.60
23.01.2015,H13,56.57
23.01.2015,H14,55.27
23.01.2015,H15,51.43
23.01.2015,H16,49.89
23.01.2015,H17,50.01
23.01.2015,H18,57.79
23.01.2015,H19,55.13
23.01.2015,H20,50.38
23.01.2015,H21,42.20
23.01.2015,H22,35.76
23.01.2015,H23,32.62
23.01.2015,H24,27.97
24.01.2015,H1,29.09
24.01.2015,H2,27.21
24.01.2015,H3,25.93
24.01.2015,H4,25.99
24.01.2015,H5,24.58
24.01.2015,H6,24.49
24.01.2015,H7,24.38
24.01.2015,H8,26.19
24.01.2015,H9,29.94
24.01.2015,H10,34.51
24.01.2015,H11,39.00
24.01.2015,H12,40.52
24.01.2015,H13,39.77
24.01.2015,H14,34.20
24.01.2015,H15,31.83
24.01.2015,H16,32.31
24.01.2015,H17,35.29
24.01.2015,H18,44.88
24.01.2015,H19,45.77
24.01.2015,H20,41.09
24.01.2015,H21,34.23
24.01.2015,H22,28.88
24.01.2015,H23,28.24
24.01.2015,H24,25.00
25.01.2015,H1,21.25
25.01.2015,H2,19.34
25.01.2015,H3,17.97
25.01.2015,H4,18.07
25.01.2015,H5,18.87
25.01.2015,H6,18.90
25.01.2015,H7,15.87
25.01.2015,H8,17.51
25.01.2015,H9,21.37
25.01.2015,H10,30.93
25.01.2015,H11,39.84
25.01.2015,H12,39.84
25.01.2015,H13,38.72
25.01.2015,H14,31.10
25.01.2015,H15,30.93
25.01.2015,H16,30.93
25.01.2015,H17,39.84
25.01.2015,H18,46.51
25.01.2015,H19,46.73
25.01.2015,H20,48.74
25.01.2015,H21,39.84
25.01.2015,H22,30.93
25.01.2015,H23,30.83
25.01.2015,H24,27.01
26.01.2015,H1,25.26
26.01.2015,H2,25.00
26.01.2015,H3,24.90
26.01.2015,H4,24.60
26.01.2015,H5,25.08
26.01.2015,H6,27.84
26.01.2015,H7,35.51
26.01.2015,H8,45.73
26.01.2015,H9,48.96
26.01.2015,H10,48.96
26.01.2015,H11,46.51
26.01.2015,H12,46.51
26.01.2015,H13,50.07
26.01.2015,H14,48.96
26.01.2015,H15,45.84
26.01.2015,H16,48.96
26.01.2015,H17,60.31
26.01.2015,H18,63.42
26.01.2015,H19,60.31
26.01.2015,H20,55.86
26.01.2015,H21,54.30
26.01.2015,H22,40.06
26.01.2015,H23,39.84
26.01.2015,H24,23.45
27.01.2015,H1,38.02
27.01.2015,H2,28.71
27.01.2015,H3,19.27
27.01.2015,H4,19.36
27.01.2015,H5,26.48
27.01.2015,H6,41.84
27.01.2015,H7,58.03
27.01.2015,H8,63.42
27.01.2015,H9,63.02
27.01.2015,H10,60.31
27.01.2015,H11,60.00
27.01.2015,H12,56.08
27.01.2015,H13,55.06
27.01.2015,H14,54.52
27.01.2015,H15,52.50
27.01.2015,H16,52.74
27.01.2015,H17,59.42
27.01.2015,H18,60.31
27.01.2015,H19,57.08
27.01.2015,H20,55.07
27.01.2015,H21,52.30
27.01.2015,H22,39.84
27.01.2015,H23,39.84
27.01.2015,H24,30.93
28.01.2015,H1,28.25
28.01.2015,H2,26.80
28.01.2015,H3,24.89
28.01.2015,H4,24.40
28.01.2015,H5,25.02
28.01.2015,H6,27.56
28.01.2015,H7,35.79
28.01.2015,H8,45.09
28.01.2015,H9,55.13
28.01.2015,H10,50.67
28.01.2015,H11,44.01
28.01.2015,H12,44.64
28.01.2015,H13,46.65
28.01.2015,H14,44.64
28.01.2015,H15,43.53
28.01.2015,H16,44.64
28.01.2015,H17,55.08
28.01.2015,H18,71.03
28.01.2015,H19,65.56
28.01.2015,H20,58.07
28.01.2015,H21,55.08
28.01.2015,H22,40.18
28.01.2015,H23,40.18
28.01.2015,H24,32.81
29.01.2015,H1,31.09
29.01.2015,H2,25.01
29.01.2015,H3,13.58
29.01.2015,H4,12.97
29.01.2015,H5,29.07
29.01.2015,H6,38.02
29.01.2015,H7,55.92
29.01.2015,H8,64.03
29.01.2015,H9,65.96
29.01.2015,H10,64.19
29.01.2015,H11,60.61
29.01.2015,H12,58.02
29.01.2015,H13,55.92
29.01.2015,H14,55.00
29.01.2015,H15,54.95
29.01.2015,H16,54.80
29.01.2015,H17,55.92
29.01.2015,H18,60.61
29.01.2015,H19,55.08
29.01.2015,H20,50.05
29.01.2015,H21,55.04
29.01.2015,H22,33.94
29.01.2015,H23,31.28
29.01.2015,H24,27.00
30.01.2015,H1,25.60
30.01.2015,H2,24.65
30.01.2015,H3,25.00
30.01.2015,H4,24.50
30.01.2015,H5,24.99
30.01.2015,H6,26.99
30.01.2015,H7,35.05
30.01.2015,H8,46.59
30.01.2015,H9,52.12
30.01.2015,H10,49.38
30.01.2015,H11,49.33
30.01.2015,H12,53.51
30.01.2015,H13,51.68
30.01.2015,H14,45.85
30.01.2015,H15,44.60
30.01.2015,H16,44.35
30.01.2015,H17,50.06
30.01.2015,H18,66.01
30.01.2015,H19,63.72
30.01.2015,H20,56.08
30.01.2015,H21,40.36
30.01.2015,H22,34.23
30.01.2015,H23,32.08
30.01.2015,H24,27.52
31.01.2015,H1,27.86
31.01.2015,H2,26.30
31.01.2015,H3,25.64
31.01.2015,H4,24.01
31.01.2015,H5,24.34
31.01.2015,H6,23.90
31.01.2015,H7,24.87
31.01.2015,H8,26.96
31.01.2015,H9,29.51
31.01.2015,H10,32.85
31.01.2015,H11,33.47
31.01.2015,H12,35.03
31.01.2015,H13,33.82
31.01.2015,H14,32.06
31.01.2015,H15,31.05
31.01.2015,H16,37.12
31.01.2015,H17,45.44
31.01.2015,H18,56.04
31.01.2015,H19,55.57
31.01.2015,H20,47.02
31.01.2015,H21,39.82
31.01.2015,H22,31.06
31.01.2015,H23,29.10
31.01.2015,H24,25.35
01.02.2015,H1,24.75
01.02.2015,H2,22.80
01.02.2015,H3,21.29
01.02.2015,H4,21.58
01.02.2015,H5,21.60
01.02.2015,H6,23.10
01.02.2015,H7,21.29
01.02.2015,H8,21.54
01.02.2015,H9,24.68
01.02.2015,H10,31.19
01.02.2015,H11,32.71
01.02.2015,H12,31.29
01.02.2015,H13,47.37
01.02.2015,H14,35.76
01.02.2015,H15,31.20
01.02.2015,H16,40.29
01.02.2015,H17,45.17
01.02.2015,H18,55.93
01.02.2015,H19,61.90
01.02.2015,H20,66.09
01.02.2015,H21,63.02
01.02.2015,H22,60.01
01.02.2015,H23,52.21
01.02.2015,H24,39.84
02.02.2015,H1,22.82
02.02.2015,H2,22.00
02.02.2015,H3,21.94
02.02.2015,H4,20.65
02.02.2015,H5,22.47
02.02.2015,H6,25.08
02.02.2015,H7,44.57
02.02.2015,H8,51.55
02.02.2015,H9,54.58
02.02.2015,H10,55.00
02.02.2015,H11,53.80
02.02.2015,H12,51.55
02.02.2015,H13,46.37
02.02.2015,H14,46.37
02.02.2015,H15,45.47
02.02.2015,H16,46.37
02.02.2015,H17,50.95
02.02.2015,H18,55.15
02.02.2015,H19,55.60
02.02.2015,H20,51.43
02.02.2015,H21,46.37
02.02.2015,H22,44.04
02.02.2015,H23,40.52
02.02.2015,H24,30.61
03.02.2015,H1,30.40
03.02.2015,H2,28.90
03.02.2015,H3,27.80
03.02.2015,H4,27.50
03.02.2015,H5,28.67
03.02.2015,H6,33.54
03.02.2015,H7,41.21
03.02.2015,H8,55.09
03.02.2015,H9,55.44
03.02.2015,H10,55.09
03.02.2015,H11,55.14
03.02.2015,H12,53.01
03.02.2015,H13,50.44
03.02.2015,H14,49.84
03.02.2015,H15,48.66
03.02.2015,H16,50.75
03.02.2015,H17,52.81
03.02.2015,H18,63.50
03.02.2015,H19,66.65
03.02.2015,H20,59.48
03.02.2015,H21,50.03
03.02.2015,H22,43.72
03.02.2015,H23,41.20
03.02.2015,H24,34.75
04.02.2015,H1,32.87
04.02.2015,H2,31.00
04.02.2015,H3,30.10
04.02.2015,H4,30.61
04.02.2015,H5,31.21
04.02.2015,H6,38.77
04.02.2015,H7,45.12
04.02.2015,H8,62.07
04.02.2015,H9,62.00
04.02.2015,H10,60.80
04.02.2015,H11,58.33
04.02.2015,H12,57.40
04.02.2015,H13,53.08
04.02.2015,H14,52.35
04.02.2015,H15,51.30
04.02.2015,H16,52.67
04.02.2015,H17,54.90
04.02.2015,H18,63.23
04.02.2015,H19,69.34
04.02.2015,H20,59.54
04.02.2015,H21,50.40
04.02.2015,H22,44.22
04.02.2015,H23,44.65
04.02.2015,H24,32.52
05.02.2015,H1,35.03
05.02.2015,H2,32.40
05.02.2015,H3,31.40
05.02.2015,H4,31.10
05.02.2015,H5,32.50
05.02.2015,H6,36.35
05.02.2015,H7,45.39
05.02.2015,H8,56.56
05.02.2015,H9,63.54
05.02.2015,H10,62.42
05.02.2015,H11,60.16
05.02.2015,H12,57.56
05.02.2015,H13,52.53
05.02.2015,H14,52.14
05.02.2015,H15,48.75
05.02.2015,H16,47.49
05.02.2015,H17,47.48
05.02.2015,H18,54.30
05.02.2015,H19,54.81
05.02.2015,H20,47.02
05.02.2015,H21,42.21
05.02.2015,H22,34.80
05.02.2015,H23,32.22
05.02.2015,H24,28.13
06.02.2015,H1,29.66
06.02.2015,H2,28.30
06.02.2015,H3,26.61
06.02.2015,H4,26.30
06.02.2015,H5,26.80
06.02.2015,H6,29.60
06.02.2015,H7,37.52
06.02.2015,H8,48.53
06.02.2015,H9,50.40
06.02.2015,H10,48.70
06.02.2015,H11,45.80
06.02.2015,H12,44.70
06.02.2015,H13,43.07
06.02.2015,H14,40.36
06.02.2015,H15,38.79
06.02.2015,H16,40.30
06.02.2015,H17,44.20
06.02.2015,H18,50.71
06.02.2015,H19,52.74
06.02.2015,H20,48.76
06.02.2015,H21,44.20
06.02.2015,H22,37.70
06.02.2015,H23,36.15
06.02.2015,H24,31.30
07.02.2015,H1,31.39
07.02.2015,H2,30.02
07.02.2015,H3,28.49
07.02.2015,H4,27.30
07.02.2015,H5,27.50
07.02.2015,H6,27.00
07.02.2015,H7,27.50
07.02.2015,H8,31.49
07.02.2015,H9,33.25
07.02.2015,H10,56.01
07.02.2015,H11,56.05
07.02.2015,H12,56.40
07.02.2015,H13,55.03
07.02.2015,H14,42.64
07.02.2015,H15,44.00
07.02.2015,H16,46.27
07.02.2015,H17,49.67
07.02.2015,H18,61.47
07.02.2015,H19,62.38
07.02.2015,H20,60.56
07.02.2015,H21,55.04
07.02.2015,H22,41.73
07.02.2015,H23,31.53
07.02.2015,H24,11.53
08.02.2015,H1,6.57
08.02.2015,H2,1.00
08.02.2015,H3,0.23
08.02.2015,H4,0.23
08.02.2015,H5,0.45
08.02.2015,H6,1.00
08.02.2015,H7,1.00
08.02.2015,H8,7.15
08.02.2015,H9,9.93
08.02.2015,H10,13.69
08.02.2015,H11,17.16
08.02.2015,H12,20.00
08.02.2015,H13,18.94
08.02.2015,H14,15.00
08.02.2015,H15,16.00
08.02.2015,H16,21.97
08.02.2015,H17,33.33
08.02.2015,H18,49.61
08.02.2015,H19,54.14
08.02.2015,H20,51.20
08.02.2015,H21,45.05
08.02.2015,H22,34.07
08.02.2015,H23,29.00
08.02.2015,H24,20.60
09.02.2015,H1,10.00
09.02.2015,H2,8.13
09.02.2015,H3,6.00
09.02.2015,H4,4.81
09.02.2015,H5,6.23
09.02.2015,H6,10.00
09.02.2015,H7,22.21
09.02.2015,H8,38.06
09.02.2015,H9,44.00
09.02.2015,H10,43.95
09.02.2015,H11,40.61
09.02.2015,H12,40.55
09.02.2015,H13,40.55
09.02.2015,H14,39.94
09.02.2015,H15,40.55
09.02.2015,H16,43.95
09.02.2015,H17,45.76
09.02.2015,H18,55.03
09.02.2015,H19,54.14
09.02.2015,H20,49.50
09.02.2015,H21,46.67
09.02.2015,H22,40.55
09.02.2015,H23,37.54
09.02.2015,H24,23.80
10.02.2015,H1,26.26
10.02.2015,H2,26.00
10.02.2015,H3,24.84
10.02.2015,H4,25.83
10.02.2015,H5,26.00
10.02.2015,H6,28.64
10.02.2015,H7,43.95
10.02.2015,H8,55.03
10.02.2015,H9,56.63
10.02.2015,H10,56.18
10.02.2015,H11,51.88
10.02.2015,H12,49.71
10.02.2015,H13,48.61
10.02.2015,H14,48.90
10.02.2015,H15,46.30
10.02.2015,H16,46.30
10.02.2015,H17,48.40
10.02.2015,H18,56.07
10.02.2015,H19,63.82
10.02.2015,H20,57.00
10.02.2015,H21,50.07
10.02.2015,H22,41.15
10.02.2015,H23,38.00
10.02.2015,H24,31.80
11.02.2015,H1,31.60
11.02.2015,H2,30.40
11.02.2015,H3,28.88
11.02.2015,H4,29.00
11.02.2015,H5,30.04
11.02.2015,H6,33.05
11.02.2015,H7,45.89
11.02.2015,H8,60.25
11.02.2015,H9,58.14
11.02.2015,H10,54.90
11.02.2015,H11,53.14
11.02.2015,H12,53.00
11.02.2015,H13,49.70
