Date,Hours,Prices (EUR/MWh)
,,
01.01.2017,H1,57.25
01.01.2017,H2,50.21
01.01.2017,H3,44.04
01.01.2017,H4,32.81
01.01.2017,H5,28.41
01.01.2017,H6,24.02
01.01.2017,H7,15.60
01.01.2017,H8,14.52
01.01.2017,H9,16.70
01.01.2017,H10,21.19
01.01.2017,H11,32.81
01.01.2017,H12,47.23
01.01.2017,H13,47.95
01.01.2017,H14,45.32
01.01.2017,H15,41.34
01.01.2017,H16,44.17
01.01.2017,H17,52.98
01.01.2017,H18,59.68
01.01.2017,H19,59.68
01.01.2017,H20,57.97
01.01.2017,H21,57.96
01.01.2017,H22,51.97
01.01.2017,H23,43.51
01.01.2017,H24,42.78
02.01.2017,H1,24.84
02.01.2017,H2,23.45
02.01.2017,H3,20.89
02.01.2017,H4,19.95
02.01.2017,H5,22.81
02.01.2017,H6,26.15
02.01.2017,H7,44.72
02.01.2017,H8,50.34
02.01.2017,H9,57.00
02.01.2017,H10,60.98
02.01.2017,H11,58.68
02.01.2017,H12,59.73
02.01.2017,H13,58.67
02.01.2017,H14,60.01
02.01.2017,H15,61.27
02.01.2017,H16,63.49
02.01.2017,H17,67.04
02.01.2017,H18,74.09
02.01.2017,H19,67.00
02.01.2017,H20,63.00
02.01.2017,H21,60.91
02.01.2017,H22,60.06
02.01.2017,H23,49.93
02.01.2017,H24,37.96
03.01.2017,H1,33.36
03.01.2017,H2,34.25
03.01.2017,H3,32.39
03.01.2017,H4,31.60
03.01.2017,H5,32.81
03.01.2017,H6,44.04
03.01.2017,H7,59.68
03.01.2017,H8,67.59
03.01.2017,H9,70.47
03.01.2017,H10,70.47
03.01.2017,H11,70.47
03.01.2017,H12,70.25
03.01.2017,H13,69.78
03.01.2017,H14,70.25
03.01.2017,H15,70.47
03.01.2017,H16,71.37
03.01.2017,H17,76.19
03.01.2017,H18,82.03
03.01.2017,H19,83.65
03.01.2017,H20,79.34
03.01.2017,H21,74.30
03.01.2017,H22,70.25
03.01.2017,H23,66.06
03.01.2017,H24,60.30
04.01.2017,H1,56.02
04.01.2017,H2,42.50
04.01.2017,H3,34.03
04.01.2017,H4,34.00
04.01.2017,H5,33.25
04.01.2017,H6,37.22
04.01.2017,H7,57.30
04.01.2017,H8,59.68
04.01.2017,H9,63.86
04.01.2017,H10,64.65
04.01.2017,H11,69.73
04.01.2017,H12,69.63
04.01.2017,H13,68.07
04.01.2017,H14,61.22
04.01.2017,H15,60.34
04.01.2017,H16,61.22
04.01.2017,H17,63.86
04.01.2017,H18,79.91
04.01.2017,H19,67.20
04.01.2017,H20,63.86
04.01.2017,H21,59.68
04.01.2017,H22,51.42
04.01.2017,H23,46.02
04.01.2017,H24,38.64
05.01.2017,H1,34.20
05.01.2017,H2,33.50
05.01.2017,H3,31.78
05.01.2017,H4,31.49
05.01.2017,H5,33.98
05.01.2017,H6,36.97
05.01.2017,H7,55.34
05.01.2017,H8,62.20
05.01.2017,H9,65.08
