Date,Hours,Prices (EUR/MWh)
05.01.2017,H10,66.25
05.01.2017,H11,65.50
05.01.2017,H12,66.41
05.01.2017,H13,66.09
05.01.2017,H14,66.23
05.01.2017,H15,65.74
05.01.2017,H16,68.43
05.01.2017,H17,68.13
05.01.2017,H18,72.91
05.01.2017,H19,70.89
05.01.2017,H20,67.74
05.01.2017,H21,60.65
05.01.2017,H22,47.70
05.01.2017,H23,47.43
05.01.2017,H24,39.00
06.01.2017,H1,40.68
06.01.2017,H2,40.10
06.01.2017,H3,38.50
06.01.2017,H4,37.36
06.01.2017,H5,37.40
06.01.2017,H6,40.10
06.01.2017,H7,48.52
06.01.2017,H8,58.80
06.01.2017,H9,61.54
06.01.2017,H10,60.00
06.01.2017,H11,58.73
06.01.2017,H12,57.02
06.01.2017,H13,55.96
06.01.2017,H14,53.57
06.01.2017,H15,54.04
06.01.2017,H16,57.70
06.01.2017,H17,65.17
06.01.2017,H18,71.30
06.01.2017,H19,67.69
06.01.2017,H20,61.92
06.01.2017,H21,50.97
06.01.2017,H22,40.45
06.01.2017,H23,39.22
06.01.2017,H24,35.20
07.01.2017,H1,43.67
07.01.2017,H2,35.96
07.01.2017,H3,34.50
07.01.2017,H4,34.00
07.01.2017,H5,33.17
07.01.2017,H6,34.00
07.01.2017,H7,33.65
07.01.2017,H8,35.00
07.01.2017,H9,56.36
07.01.2017,H10,60.54
07.01.2017,H11,60.08
07.01.2017,H12,59.03
07.01.2017,H13,56.94
07.01.2017,H14,53.92
07.01.2017,H15,52.02
07.01.2017,H16,56.16
07.01.2017,H17,60.39
07.01.2017,H18,65.28
07.01.2017,H19,67.83
07.01.2017,H20,66.50
07.01.2017,H21,64.29
07.01.2017,H22,60.08
07.01.2017,H23,44.08
07.01.2017,H24,38.16
08.01.2017,H1,36.13
08.01.2017,H2,33.50
08.01.2017,H3,33.55
08.01.2017,H4,32.70
08.01.2017,H5,33.00
08.01.2017,H6,34.17
08.01.2017,H7,34.17
08.01.2017,H8,51.50
08.01.2017,H9,57.66
08.01.2017,H10,60.13
08.01.2017,H11,61.02
08.01.2017,H12,61.88
08.01.2017,H13,60.13
08.01.2017,H14,58.09
08.01.2017,H15,59.06
08.01.2017,H16,57.25
08.01.2017,H17,64.35
08.01.2017,H18,71.00
08.01.2017,H19,71.00
08.01.2017,H20,71.00
08.01.2017,H21,68.02
08.01.2017,H22,64.35
08.01.2017,H23,61.52
08.01.2017,H24,57.69
09.01.2017,H1,46.37
09.01.2017,H2,40.36
09.01.2017,H3,38.38
09.01.2017,H4,38.55
09.01.2017,H5,44.38
09.01.2017,H6,56.10
09.01.2017,H7,70.78
09.01.2017,H8,75.44
09.01.2017,H9,83.94
09.01.2017,H10,90.03
09.01.2017,H11,90.00
09.01.2017,H12,92.06
09.01.2017,H13,89.81
09.01.2017,H14,85.95
09.01.2017,H15,87.34
09.01.2017,H16,90.03
09.01.2017,H17,90.00
09.01.2017,H18,103.50
09.01.2017,H19,94.01
09.01.2017,H20,95.00
09.01.2017,H21,80.64
09.01.2017,H22,73.94
09.01.2017,H23,69.17
09.01.2017,H24,62.80
10.01.2017,H1,57.54
10.01.2017,H2,46.37
10.01.2017,H3,44.38
10.01.2017,H4,44.38
10.01.2017,H5,45.07
10.01.2017,H6,57.69
10.01.2017,H7,73.94
10.01.2017,H8,94.35
10.01.2017,H9,120.95
10.01.2017,H10,140.01
10.01.2017,H11,126.05
10.01.2017,H12,140.04
10.01.2017,H13,133.59
10.01.2017,H14,119.01
10.01.2017,H15,107.43
10.01.2017,H16,110.67
10.01.2017,H17,104.04
10.01.2017,H18,133.25
10.01.2017,H19,139.96
10.01.2017,H20,140.62
10.01.2017,H21,119.31
10.01.2017,H22,84.54
10.01.2017,H23,75.05
10.01.2017,H24,71.93
11.01.2017,H1,64.96
11.01.2017,H2,54.88
11.01.2017,H3,37.76
11.01.2017,H4,36.00
11.01.2017,H5,48.86
11.01.2017,H6,66.63
11.01.2017,H7,88.01
11.01.2017,H8,195.15
11.01.2017,H9,250.04
11.01.2017,H10,250.09
11.01.2017,H11,250.05
11.01.2017,H12,250.07
11.01.2017,H13,190.35
11.01.2017,H14,150.01
11.01.2017,H15,200.07
11.01.2017,H16,250.02
11.01.2017,H17,250.06
11.01.2017,H18,300.10
11.01.2017,H19,200.07
11.01.2017,H20,150.06
11.01.2017,H21,87.03
11.01.2017,H22,88.03
11.01.2017,H23,81.91
11.01.2017,H24,60.19
12.01.2017,H1,69.52
12.01.2017,H2,53.61
12.01.2017,H3,45.14
12.01.2017,H4,38.02
12.01.2017,H5,41.83
12.01.2017,H6,51.10
12.01.2017,H7,81.83
12.01.2017,H8,101.93
12.01.2017,H9,101.92
12.01.2017,H10,101.93
12.01.2017,H11,86.72
12.01.2017,H12,86.72
12.01.2017,H13,88.06
12.01.2017,H14,86.72
12.01.2017,H15,84.50
12.01.2017,H16,84.50
12.01.2017,H17,86.72
12.01.2017,H18,100.00
12.01.2017,H19,97.87
12.01.2017,H20,88.88
12.01.2017,H21,110.01
12.01.2017,H22,84.50
12.01.2017,H23,77.88
12.01.2017,H24,65.07
13.01.2017,H1,50.74
13.01.2017,H2,48.94
13.01.2017,H3,44.26
13.01.2017,H4,38.94
13.01.2017,H5,48.94
13.01.2017,H6,58.07
13.01.2017,H7,68.11
13.01.2017,H8,88.99
13.01.2017,H9,88.99
13.01.2017,H10,88.99
13.01.2017,H11,89.97
13.01.2017,H12,86.77
13.01.2017,H13,85.65
13.01.2017,H14,80.89
13.01.2017,H15,80.09
13.01.2017,H16,83.49
13.01.2017,H17,86.10
13.01.2017,H18,96.99
13.01.2017,H19,99.45
13.01.2017,H20,89.81
13.01.2017,H21,76.64
13.01.2017,H22,74.80
13.01.2017,H23,62.77
13.01.2017,H24,50.06
14.01.2017,H1,30.70
14.01.2017,H2,28.54
14.01.2017,H3,26.35
14.01.2017,H4,24.06
14.01.2017,H5,25.00
14.01.2017,H6,24.92
14.01.2017,H7,26.20
14.01.2017,H8,45.00
14.01.2017,H9,73.74
14.01.2017,H10,86.12
14.01.2017,H11,89.96
14.01.2017,H12,90.10
14.01.2017,H13,84.56
14.01.2017,H14,81.97
14.01.2017,H15,77.94
14.01.2017,H16,83.82
14.01.2017,H17,89.01
14.01.2017,H18,90.10
14.01.2017,H19,98.02
14.01.2017,H20,96.09
14.01.2017,H21,89.01
14.01.2017,H22,86.79
14.01.2017,H23,73.93
14.01.2017,H24,63.68
15.01.2017,H1,50.78
15.01.2017,H2,44.97
15.01.2017,H3,33.39
15.01.2017,H4,33.17
15.01.2017,H5,44.52
15.01.2017,H6,53.99
15.01.2017,H7,56.98
15.01.2017,H8,58.94
15.01.2017,H9,69.91
15.01.2017,H10,86.82
15.01.2017,H11,89.05
15.01.2017,H12,90.16
15.01.2017,H13,89.05
15.01.2017,H14,89.05
15.01.2017,H15,89.05
15.01.2017,H16,89.05
15.01.2017,H17,93.50
15.01.2017,H18,93.50
15.01.2017,H19,93.50
15.01.2017,H20,93.50
15.01.2017,H21,91.27
15.01.2017,H22,90.16
15.01.2017,H23,84.15
15.01.2017,H24,73.24
16.01.2017,H1,62.00
16.01.2017,H2,51.16
16.01.2017,H3,46.71
16.01.2017,H4,42.50
16.01.2017,H5,44.27
16.01.2017,H6,66.79
16.01.2017,H7,86.82
16.01.2017,H8,93.97
16.01.2017,H9,100.00
16.01.2017,H10,99.99
16.01.2017,H11,98.30
16.01.2017,H12,100.81
16.01.2017,H13,95.73
16.01.2017,H14,95.00
16.01.2017,H15,93.30
16.01.2017,H16,91.27
16.01.2017,H17,94.53
16.01.2017,H18,118.28
16.01.2017,H19,110.05
16.01.2017,H20,101.94
16.01.2017,H21,90.48
16.01.2017,H22,77.93
16.01.2017,H23,56.77
16.01.2017,H24,42.92
17.01.2017,H1,45.66
17.01.2017,H2,44.54
17.01.2017,H3,40.30
17.01.2017,H4,39.56
17.01.2017,H5,40.25
17.01.2017,H6,42.78
17.01.2017,H7,73.22
17.01.2017,H8,108.10
17.01.2017,H9,125.08
17.01.2017,H10,120.06
17.01.2017,H11,120.02
17.01.2017,H12,119.97
17.01.2017,H13,113.03
17.01.2017,H14,108.16
17.01.2017,H15,107.48
17.01.2017,H16,110.95
17.01.2017,H17,120.03
17.01.2017,H18,135.91
17.01.2017,H19,125.00
17.01.2017,H20,120.03
17.01.2017,H21,99.10
17.01.2017,H22,84.04
17.01.2017,H23,66.38
17.01.2017,H24,49.07
18.01.2017,H1,41.06
18.01.2017,H2,38.47
18.01.2017,H3,35.00
18.01.2017,H4,34.10
18.01.2017,H5,35.62
18.01.2017,H6,40.14
18.01.2017,H7,60.21
18.01.2017,H8,106.05
18.01.2017,H9,120.00
18.01.2017,H10,120.06
18.01.2017,H11,112.75
18.01.2017,H12,119.72
18.01.2017,H13,109.59
18.01.2017,H14,99.19
18.01.2017,H15,98.03
18.01.2017,H16,106.38
18.01.2017,H17,109.00
18.01.2017,H18,129.53
18.01.2017,H19,130.27
18.01.2017,H20,116.10
18.01.2017,H21,96.05
18.01.2017,H22,55.48
18.01.2017,H23,55.70
18.01.2017,H24,41.94
19.01.2017,H1,40.55
19.01.2017,H2,39.66
19.01.2017,H3,37.56
19.01.2017,H4,35.87
19.01.2017,H5,37.27
19.01.2017,H6,67.14
19.01.2017,H7,88.79
19.01.2017,H8,108.56
19.01.2017,H9,120.02
19.01.2017,H10,120.07
19.01.2017,H11,120.06
19.01.2017,H12,120.01
19.01.2017,H13,115.02
19.01.2017,H14,107.65
19.01.2017,H15,107.99
19.01.2017,H16,115.91
19.01.2017,H17,116.14
19.01.2017,H18,127.97
19.01.2017,H19,120.10
19.01.2017,H20,120.07
19.01.2017,H21,113.97
19.01.2017,H22,100.14
19.01.2017,H23,100.13
19.01.2017,H24,93.23
20.01.2017,H1,78.35
20.01.2017,H2,66.70
20.01.2017,H3,64.14
20.01.2017,H4,60.25
20.01.2017,H5,70.18
20.01.2017,H6,81.66
20.01.2017,H7,101.99
20.01.2017,H8,119.29
20.01.2017,H9,122.28
20.01.2017,H10,120.10
20.01.2017,H11,120.05
20.01.2017,H12,115.61
20.01.2017,H13,115.61
20.01.2017,H14,111.16
20.01.2017,H15,111.36
20.01.2017,H16,111.38
20.01.2017,H17,111.16
20.01.2017,H18,115.61
20.01.2017,H19,115.61
20.01.2017,H20,111.16
20.01.2017,H21,100.04
20.01.2017,H22,88.93
20.01.2017,H23,70.92
20.01.2017,H24,60.03
21.01.2017,H1,77.68
21.01.2017,H2,73.86
21.01.2017,H3,64.49
21.01.2017,H4,51.82
21.01.2017,H5,46.52
21.01.2017,H6,46.52
21.01.2017,H7,59.87
21.01.2017,H8,75.46
21.01.2017,H9,88.01
21.01.2017,H10,91.37
21.01.2017,H11,91.37
21.01.2017,H12,91.37
21.01.2017,H13,89.37
21.01.2017,H14,80.30
21.01.2017,H15,77.68
21.01.2017,H16,81.10
21.01.2017,H17,97.94
21.01.2017,H18,111.29
21.01.2017,H19,110.07
21.01.2017,H20,100.45
21.01.2017,H21,93.48
21.01.2017,H22,83.62
21.01.2017,H23,73.10
21.01.2017,H24,57.87
22.01.2017,H1,37.71
22.01.2017,H2,33.14
22.01.2017,H3,33.80
22.01.2017,H4,33.66
22.01.2017,H5,33.48
22.01.2017,H6,33.92
22.01.2017,H7,32.99
22.01.2017,H8,34.10
22.01.2017,H9,38.09
22.01.2017,H10,53.18
22.01.2017,H11,59.84
22.01.2017,H12,59.84
22.01.2017,H13,59.84
22.01.2017,H14,44.49
22.01.2017,H15,39.15
22.01.2017,H16,58.21
22.01.2017,H17,68.71
22.01.2017,H18,86.09
22.01.2017,H19,94.48
22.01.2017,H20,89.97
22.01.2017,H21,79.91
22.01.2017,H22,75.62
22.01.2017,H23,60.06
22.01.2017,H24,46.49
23.01.2017,H1,46.17
23.01.2017,H2,41.07
23.01.2017,H3,38.88
23.01.2017,H4,38.84
23.01.2017,H5,39.40
23.01.2017,H6,42.30
23.01.2017,H7,68.85
23.01.2017,H8,119.92
23.01.2017,H9,123.93
23.01.2017,H10,123.97
23.01.2017,H11,121.25
23.01.2017,H12,117.08
23.01.2017,H13,111.48
23.01.2017,H14,110.07
23.01.2017,H15,110.06
23.01.2017,H16,113.98
23.01.2017,H17,122.34
23.01.2017,H18,124.57
23.01.2017,H19,128.82
23.01.2017,H20,121.98
23.01.2017,H21,108.70
23.01.2017,H22,77.86
23.01.2017,H23,77.86
23.01.2017,H24,47.57
24.01.2017,H1,60.06
24.01.2017,H2,53.92
24.01.2017,H3,51.90
24.01.2017,H4,48.90
24.01.2017,H5,55.83
24.01.2017,H6,63.69
24.01.2017,H7,95.98
24.01.2017,H8,124.57
24.01.2017,H9,137.24
24.01.2017,H10,134.14
24.01.2017,H11,124.57
24.01.2017,H12,123.92
24.01.2017,H13,115.21
24.01.2017,H14,113.45
24.01.2017,H15,113.45
24.01.2017,H16,119.04
24.01.2017,H17,124.57
24.01.2017,H18,139.58
24.01.2017,H19,141.04
24.01.2017,H20,124.57
24.01.2017,H21,109.00
24.01.2017,H22,80.08
24.01.2017,H23,68.07
24.01.2017,H24,55.83
25.01.2017,H1,53.91
25.01.2017,H2,47.83
25.01.2017,H3,42.46
25.01.2017,H4,40.60
25.01.2017,H5,42.17
25.01.2017,H6,48.91
25.01.2017,H7,87.93
25.01.2017,H8,124.52
25.01.2017,H9,130.88
25.01.2017,H10,130.02
25.01.2017,H11,125.40
25.01.2017,H12,125.04
25.01.2017,H13,121.98
25.01.2017,H14,117.99
25.01.2017,H15,115.98
25.01.2017,H16,120.07
25.01.2017,H17,122.30
25.01.2017,H18,133.41
25.01.2017,H19,133.42
25.01.2017,H20,130.08
25.01.2017,H21,122.30
25.01.2017,H22,90.24
25.01.2017,H23,84.50
25.01.2017,H24,60.04
26.01.2017,H1,49.09
26.01.2017,H2,41.41
26.01.2017,H3,39.01
26.01.2017,H4,36.70
26.01.2017,H5,36.88
26.01.2017,H6,41.60
26.01.2017,H7,51.14
26.01.2017,H8,125.52
26.01.2017,H9,150.03
26.01.2017,H10,150.09
26.01.2017,H11,140.58
26.01.2017,H12,130.04
26.01.2017,H13,117.92
26.01.2017,H14,111.18
26.01.2017,H15,113.33
26.01.2017,H16,119.86
26.01.2017,H17,122.12
26.01.2017,H18,133.41
26.01.2017,H19,134.61
26.01.2017,H20,130.01
26.01.2017,H21,109.99
26.01.2017,H22,76.40
26.01.2017,H23,86.00
26.01.2017,H24,55.81
27.01.2017,H1,64.62
27.01.2017,H2,58.86
27.01.2017,H3,49.79
27.01.2017,H4,50.19
27.01.2017,H5,56.08
27.01.2017,H6,76.87
27.01.2017,H7,122.84
27.01.2017,H8,135.74
27.01.2017,H9,135.74
27.01.2017,H10,135.74
27.01.2017,H11,135.74
27.01.2017,H12,135.52
27.01.2017,H13,133.52
27.01.2017,H14,130.06
27.01.2017,H15,130.08
27.01.2017,H16,133.51
27.01.2017,H17,133.52
27.01.2017,H18,134.63
27.01.2017,H19,133.52
27.01.2017,H20,130.29
27.01.2017,H21,115.42
27.01.2017,H22,104.14
27.01.2017,H23,97.60
27.01.2017,H24,81.97
28.01.2017,H1,74.61
28.01.2017,H2,64.29
28.01.2017,H3,58.56
28.01.2017,H4,52.94
28.01.2017,H5,54.46
28.01.2017,H6,54.28
28.01.2017,H7,64.10
28.01.2017,H8,102.91
28.01.2017,H9,135.61
28.01.2017,H10,135.61
28.01.2017,H11,135.61
28.01.2017,H12,135.61
28.01.2017,H13,135.61
28.01.2017,H14,133.39
28.01.2017,H15,133.39
28.01.2017,H16,135.61
28.01.2017,H17,144.50
28.01.2017,H18,144.50
28.01.2017,H19,144.50
28.01.2017,H20,144.50
28.01.2017,H21,140.32
28.01.2017,H22,133.39
28.01.2017,H23,100.04
28.01.2017,H24,74.03
29.01.2017,H1,74.70
29.01.2017,H2,67.34
29.01.2017,H3,56.95
29.01.2017,H4,47.98
29.01.2017,H5,50.45
29.01.2017,H6,51.26
29.01.2017,H7,45.03
29.01.2017,H8,58.33
29.01.2017,H9,66.60
29.01.2017,H10,99.83
29.01.2017,H11,103.82
29.01.2017,H12,99.61
29.01.2017,H13,80.13
29.01.2017,H14,67.92
29.01.2017,H15,59.97
29.01.2017,H16,67.77
29.01.2017,H17,130.08
29.01.2017,H18,135.32
29.01.2017,H19,137.54
29.01.2017,H20,135.32
29.01.2017,H21,133.11
29.01.2017,H22,103.82
29.01.2017,H23,68.55
29.01.2017,H24,56.33
30.01.2017,H1,49.78
30.01.2017,H2,44.37
30.01.2017,H3,38.64
30.01.2017,H4,36.96
30.01.2017,H5,38.19
30.01.2017,H6,48.87
30.01.2017,H7,99.83
30.01.2017,H8,133.11
30.01.2017,H9,135.32
30.01.2017,H10,135.32
30.01.2017,H11,135.32
30.01.2017,H12,135.32
30.01.2017,H13,135.32
30.01.2017,H14,133.33
30.01.2017,H15,134.11
30.01.2017,H16,135.32
30.01.2017,H17,135.32
30.01.2017,H18,135.32
30.01.2017,H19,135.32
30.01.2017,H20,135.32
30.01.2017,H21,133.11
30.01.2017,H22,100.01
30.01.2017,H23,83.19
30.01.2017,H24,75.93
31.01.2017,H1,83.64
31.01.2017,H2,79.03
31.01.2017,H3,62.12
31.01.2017,H4,54.59
31.01.2017,H5,60.33
31.01.2017,H6,88.74
31.01.2017,H7,133.11
31.01.2017,H8,144.20
31.01.2017,H9,144.20
31.01.2017,H10,145.01
31.01.2017,H11,144.20
31.01.2017,H12,137.54
31.01.2017,H13,136.05
31.01.2017,H14,135.32
31.01.2017,H15,135.32
31.01.2017,H16,135.32
31.01.2017,H17,135.37
31.01.2017,H18,135.32
31.01.2017,H19,135.32
31.01.2017,H20,133.11
31.01.2017,H21,130.04
31.01.2017,H22,84.48
31.01.2017,H23,69.01
31.01.2017,H24,59.08
01.02.2017,H1,44.12
01.02.2017,H2,41.97
01.02.2017,H3,40.30
01.02.2017,H4,39.59
01.02.2017,H5,40.37
01.02.2017,H6,46.44
01.02.2017,H7,70.50
01.02.2017,H8,131.45
01.02.2017,H9,135.54
01.02.2017,H10,135.54
01.02.2017,H11,135.54
01.02.2017,H12,135.54
01.02.2017,H13,135.54
01.02.2017,H14,135.54
01.02.2017,H15,135.54
01.02.2017,H16,144.43
01.02.2017,H17,144.43
01.02.2017,H18,151.09
01.02.2017,H19,151.09
01.02.2017,H20,148.87
01.02.2017,H21,144.43
01.02.2017,H22,133.32
01.02.2017,H23,98.22
01.02.2017,H24,72.82
02.02.2017,H1,61.92
02.02.2017,H2,51.46
02.02.2017,H3,50.41
02.02.2017,H4,44.07
02.02.2017,H5,45.53
02.02.2017,H6,53.25
02.02.2017,H7,97.48
02.02.2017,H8,144.32
02.02.2017,H9,146.06
02.02.2017,H10,144.32
02.02.2017,H11,142.37
02.02.2017,H12,135.44
02.02.2017,H13,135.44
02.02.2017,H14,135.44
02.02.2017,H15,135.44
02.02.2017,H16,135.44
02.02.2017,H17,135.44
02.02.2017,H18,144.32
02.02.2017,H19,136.08
02.02.2017,H20,135.44
02.02.2017,H21,133.22
02.02.2017,H22,81.98
02.02.2017,H23,64.17
02.02.2017,H24,48.70
03.02.2017,H1,55.48
03.02.2017,H2,51.96
03.02.2017,H3,46.20
03.02.2017,H4,43.03
03.02.2017,H5,46.20
03.02.2017,H6,53.03
03.02.2017,H7,70.07
03.02.2017,H8,101.00
03.02.2017,H9,108.66
03.02.2017,H10,113.62
03.02.2017,H11,108.05
03.02.2017,H12,100.07
03.02.2017,H13,99.25
03.02.2017,H14,76.02
03.02.2017,H15,76.03
03.02.2017,H16,76.20
03.02.2017,H17,82.66
03.02.2017,H18,98.99
03.02.2017,H19,93.14
03.02.2017,H20,84.23
03.02.2017,H21,72.19
03.02.2017,H22,44.42
03.02.2017,H23,43.26
03.02.2017,H24,37.75
04.02.2017,H1,62.56
04.02.2017,H2,53.34
04.02.2017,H3,43.94
04.02.2017,H4,36.52
04.02.2017,H5,34.55
04.02.2017,H6,37.28
04.02.2017,H7,35.51
04.02.2017,H8,44.78
04.02.2017,H9,50.95
04.02.2017,H10,59.33
04.02.2017,H11,60.70
04.02.2017,H12,62.10
04.02.2017,H13,60.00
04.02.2017,H14,53.33
04.02.2017,H15,50.92
04.02.2017,H16,51.04
04.02.2017,H17,56.43
04.02.2017,H18,69.91
04.02.2017,H19,74.82
04.02.2017,H20,73.77
04.02.2017,H21,63.72
04.02.2017,H22,55.36
04.02.2017,H23,51.02
04.02.2017,H24,50.01
05.02.2017,H1,41.85
05.02.2017,H2,37.29
05.02.2017,H3,35.69
05.02.2017,H4,33.56
05.02.2017,H5,33.70
05.02.2017,H6,33.94
05.02.2017,H7,34.58
05.02.2017,H8,36.27
05.02.2017,H9,40.02
05.02.2017,H10,44.87
05.02.2017,H11,51.06
05.02.2017,H12,51.10
05.02.2017,H13,47.88
05.02.2017,H14,42.05
05.02.2017,H15,40.00
05.02.2017,H16,41.50
05.02.2017,H17,47.00
05.02.2017,H18,58.58
05.02.2017,H19,64.00
05.02.2017,H20,59.60
05.02.2017,H21,53.71
05.02.2017,H22,46.50
05.02.2017,H23,46.99
05.02.2017,H24,40.57
06.02.2017,H1,40.27
06.02.2017,H2,38.70
06.02.2017,H3,37.93
06.02.2017,H4,37.06
06.02.2017,H5,38.00
06.02.2017,H6,42.91
06.02.2017,H7,64.03
06.02.2017,H8,93.83
06.02.2017,H9,97.96
06.02.2017,H10,99.65
06.02.2017,H11,95.05
06.02.2017,H12,99.03
06.02.2017,H13,95.00
06.02.2017,H14,77.98
06.02.2017,H15,77.51
06.02.2017,H16,75.20
06.02.2017,H17,76.27
06.02.2017,H18,82.00
06.02.2017,H19,82.47
06.02.2017,H20,77.10
06.02.2017,H21,65.92
06.02.2017,H22,55.00
06.02.2017,H23,50.00
06.02.2017,H24,43.97
07.02.2017,H1,42.50
07.02.2017,H2,40.40
07.02.2017,H3,39.00
07.02.2017,H4,37.98
07.02.2017,H5,38.50
07.02.2017,H6,42.10
07.02.2017,H7,63.54
07.02.2017,H8,72.03
07.02.2017,H9,76.74
07.02.2017,H10,74.76
07.02.2017,H11,73.82
07.02.2017,H12,77.16
07.02.2017,H13,72.02
07.02.2017,H14,70.58
07.02.2017,H15,66.07
07.02.2017,H16,63.72
07.02.2017,H17,71.13
07.02.2017,H18,79.49
07.02.2017,H19,80.00
07.02.2017,H20,83.96
07.02.2017,H21,76.99
07.02.2017,H22,65.47
07.02.2017,H23,53.15
07.02.2017,H24,43.47
08.02.2017,H1,39.09
08.02.2017,H2,38.02
08.02.2017,H3,36.95
08.02.2017,H4,35.45
08.02.2017,H5,36.26
08.02.2017,H6,38.75
08.02.2017,H7,50.06
08.02.2017,H8,66.37
08.02.2017,H9,69.16
08.02.2017,H10,69.98
08.02.2017,H11,68.80
08.02.2017,H12,68.80
08.02.2017,H13,69.04
08.02.2017,H14,67.56
08.02.2017,H15,65.92
08.02.2017,H16,67.00
08.02.2017,H17,72.78
08.02.2017,H18,78.00
08.02.2017,H19,85.91
08.02.2017,H20,80.87
08.02.2017,H21,68.80
08.02.2017,H22,58.26
08.02.2017,H23,54.00
08.02.2017,H24,46.00
09.02.2017,H1,45.30
09.02.2017,H2,44.00
09.02.2017,H3,41.68
09.02.2017,H4,40.70
09.02.2017,H5,40.86
09.02.2017,H6,44.03
09.02.2017,H7,56.16
09.02.2017,H8,76.06
09.02.2017,H9,81.00
09.02.2017,H10,77.40
09.02.2017,H11,74.80
09.02.2017,H12,72.50
09.02.2017,H13,71.92
09.02.2017,H14,69.80
09.02.2017,H15,67.50
09.02.2017,H16,66.75
09.02.2017,H17,68.00
09.02.2017,H18,73.00
09.02.2017,H19,79.09
09.02.2017,H20,74.50
09.02.2017,H21,59.50
09.02.2017,H22,45.50
09.02.2017,H23,44.47
09.02.2017,H24,41.18
10.02.2017,H1,38.06
10.02.2017,H2,36.64
10.02.2017,H3,35.25
10.02.2017,H4,34.00
10.02.2017,H5,34.75
10.02.2017,H6,37.89
10.02.2017,H7,51.09
10.02.2017,H8,77.97
10.02.2017,H9,80.05
10.02.2017,H10,81.90
10.02.2017,H11,75.90
10.02.2017,H12,66.50
10.02.2017,H13,65.96
10.02.2017,H14,57.46
10.02.2017,H15,55.29
10.02.2017,H16,59.00
10.02.2017,H17,61.68
10.02.2017,H18,77.97
10.02.2017,H19,84.21
10.02.2017,H20,77.97
10.02.2017,H21,70.68
10.02.2017,H22,53.46
10.02.2017,H23,51.51
10.02.2017,H24,42.25
11.02.2017,H1,38.83
11.02.2017,H2,35.77
11.02.2017,H3,33.80
11.02.2017,H4,33.26
11.02.2017,H5,33.67
11.02.2017,H6,36.85
11.02.2017,H7,33.84
11.02.2017,H8,37.59
11.02.2017,H9,42.37
11.02.2017,H10,45.10
11.02.2017,H11,45.30
11.02.2017,H12,43.18
